#: :type=:list
#source	HGNC_name	dbTF	coTF	in_AGS
ONECUT2	one cut homeobox 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
OSR2	odd-skipped related transciption factor 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
OTX1	orthodenticle homeobox 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
OVOL1	ovo like transcriptional repressor 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
OVOL2	ovo like zinc finger 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PAQR7	progestin and adipoQ receptor family member 7 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PAQR8	progestin and adipoQ receptor family member 8 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PASD1	PAS domain containing repressor 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PATZ1	POZ/BTB and AT hook containing zinc finger 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PAX9	paired box 9 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PBX1	PBX homeobox 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PBX2	PBX homeobox 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PBX3	PBX homeobox 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PBX4	PBX homeobox 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PCBP1	poly(rC) binding protein 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PCGF6	polycomb group ring finger 6 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PDX1	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PGRMC2	progesterone receptor membrane component 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PHF1	PHD finger protein 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PHF19	PHD finger protein 19 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PHF20	PHD finger protein 20 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PHF21A	PHD finger protein 21A [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PHTF1	putative homeodomain transcription factor 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PIN1	peptidylprolyl cis/trans isomerase|NIMA-interacting 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PITX1	paired like homeodomain 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PKNOX1	PBX/knotted 1 homeobox 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PLAG1	PLAG1 zinc finger [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PLAGL2	PLAG1 like zinc finger 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
POU2F1	POU class 2 homeobox 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
POU2F2	POU class 2 homeobox 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
POU2F3	POU class 2 homeobox 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
POU5F1	POU class 5 homeobox 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
POU6F1	POU class 6 homeobox 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PPARA	peroxisome proliferator activated receptor alpha [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PRDM1	PR/SET domain 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PRDM10	PR/SET domain 10 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PRDM15	PR/SET domain 15 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PRDM2	PR/SET domain 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PRDM4	PR/SET domain 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PREB	prolactin regulatory element binding [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PRMT3	protein arginine methyltransferase 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PROX1	prospero homeobox 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PRR12	proline rich 12 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PURA	purine rich element binding protein A [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
PURB	purine rich element binding protein B [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RAG1	recombination activating 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RARA	retinoic acid receptor alpha [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RARB	retinoic acid receptor beta [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RARG	retinoic acid receptor gamma [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RBAK	RB associated KRAB zinc finger [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
REL	REL proto-oncogene|NF-kB subunit [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RELA	RELA proto-oncogene|NF-kB subunit [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RELB	RELB proto-oncogene|NF-kB subunit [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
REPIN1	replication initiator 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
REST	RE1 silencing transcription factor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RFX1	regulatory factor X1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RFX2	regulatory factor X2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RFX3	regulatory factor X3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RFX5	regulatory factor X5 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RFX7	regulatory factor X7 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RLF	RLF zinc finger [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RREB1	ras responsive element binding protein 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RXRA	retinoid X receptor alpha [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
RXRB	retinoid X receptor beta [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SAFB	scaffold attachment factor B [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SAFB2	scaffold attachment factor B2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SALL4	spalt like transcription factor 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SAMD11	sterile alpha motif domain containing 11 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SCMH1	Scm polycomb group protein homolog 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SETBP1	SET binding protein 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SETDB1	SET domain bifurcated histone lysine methyltransferase 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SETDB2	SET domain bifurcated histone lysine methyltransferase 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SGSM2	small G protein signaling modulator 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SIM2	SIM bHLH transcription factor 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SIX4	SIX homeobox 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SIX5	SIX homeobox 5 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SKI	SKI proto-oncogene [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SKIL	SKI like proto-oncogene [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SLC2A4RG	SLC2A4 regulator [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SMAD1	SMAD family member 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SMAD3	SMAD family member 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SMAD4	SMAD family member 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SMAD5	SMAD family member 5 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SMAD6	SMAD family member 6 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SMYD3	SET and MYND domain containing 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SNAI1	snail family transcriptional repressor 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SNAI3	snail family transcriptional repressor 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SNAPC4	small nuclear RNA activating complex polypeptide 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SON	SON DNA and RNA binding protein [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SOX12	SRY-box transcription factor 12 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SOX13	SRY-box transcription factor 13 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SOX2	SRY-box transcription factor 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SOX21	SRY-box transcription factor 21 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SOX6	SRY-box transcription factor 6 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SP1	Sp1 transcription factor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SP100	SP100 nuclear antigen [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SP110	SP110 nuclear body protein [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SP2	Sp2 transcription factor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SP3	Sp3 transcription factor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SP4	Sp4 transcription factor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SP5	Sp5 transcription factor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SP6	Sp6 transcription factor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SREBF1	sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SREBF2	sterol regulatory element binding transcription factor 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
SRF	serum response factor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
STAT5B	signal transducer and activator of transcription 5B [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
STAT6	signal transducer and activator of transcription 6 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
STOX1	storkhead box 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TBP	TATA-box binding protein [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TBPL1	TATA-box binding protein like 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TBX19	T-box transcription factor 19 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TBX4	T-box transcription factor 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TBX5	T-box transcription factor 5 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TBX6	T-box transcription factor 6 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TCF12	transcription factor 12 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TCF20	transcription factor 20 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TCF3	transcription factor 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TCF4	transcription factor 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TCF7	transcription factor 7 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TCFL5	transcription factor like 5 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TEAD1	TEA domain transcription factor 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TEAD2	TEA domain transcription factor 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TEAD3	TEA domain transcription factor 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TEAD4	TEA domain transcription factor 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TEF	TEF transcription factor|PAR bZIP family member [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TERF1	telomeric repeat binding factor 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TERF2	telomeric repeat binding factor 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TET1	tet methylcytosine dioxygenase 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TET2	tet methylcytosine dioxygenase 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TET3	tet methylcytosine dioxygenase 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TFAM	transcription factor A|mitochondrial [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TFAP2A	transcription factor AP-2 alpha [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TFAP4	transcription factor AP-4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TFCP2	transcription factor CP2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TFCP2L1	transcription factor CP2 like 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TFDP1	transcription factor Dp-1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TFDP2	transcription factor Dp-2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TFE3	transcription factor binding to IGHM enhancer 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TFEB	transcription factor EB [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TGIF2	TGFB induced factor homeobox 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
THAP1	THAP domain containing 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
THAP10	THAP domain containing 10 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
THAP11	THAP domain containing 11 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
THAP7	THAP domain containing 7 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
THAP9	THAP domain containing 9 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
THRA	thyroid hormone receptor alpha [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
THRB	thyroid hormone receptor beta [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
THYN1	thymocyte nuclear protein 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TIGD1	tigger transposable element derived 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TOPORS	TOP1 binding arginine/serine rich protein|E3 ubiquitin ligase [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TP53	tumor protein p53 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TP73	tumor protein p73 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TRAFD1	TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TSHZ1	teashirt zinc finger homeobox 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TSTD1	thiosulfate sulfurtransferase like domain containing 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
TTF1	transcription termination factor 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
UBP1	upstream binding protein 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
USF1	upstream transcription factor 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
USF2	upstream transcription factor 2|c-fos interacting [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
VDR	vitamin D receptor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
VEZF1	vascular endothelial zinc finger 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
WIZ	WIZ zinc finger [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
XBP1	X-box binding protein 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
XPA	XPA|DNA damage recognition and repair factor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
YBX1	Y-box binding protein 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
YBX3	Y-box binding protein 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
YLPM1	YLP motif containing 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
YY1	YY1 transcription factor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
YY2	YY2 transcription factor [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBED3	zinc finger BED-type containing 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBED5	zinc finger BED-type containing 5 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBED6	zinc finger BED-type containing 6 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB1	zinc finger and BTB domain containing 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB10	zinc finger and BTB domain containing 10 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB11	zinc finger and BTB domain containing 11 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB14	zinc finger and BTB domain containing 14 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB17	zinc finger and BTB domain containing 17 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB18	zinc finger and BTB domain containing 18 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB2	zinc finger and BTB domain containing 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB20	zinc finger and BTB domain containing 20 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB21	zinc finger and BTB domain containing 21 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB22	zinc finger and BTB domain containing 22 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB24	zinc finger and BTB domain containing 24 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB25	zinc finger and BTB domain containing 25 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB3	zinc finger and BTB domain containing 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB32	zinc finger and BTB domain containing 32 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB33	zinc finger and BTB domain containing 33 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB34	zinc finger and BTB domain containing 34 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB38	zinc finger and BTB domain containing 38 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB4	zinc finger and BTB domain containing 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB40	zinc finger and BTB domain containing 40 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB44	zinc finger and BTB domain containing 44 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB45	zinc finger and BTB domain containing 45 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB46	zinc finger and BTB domain containing 46 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB48	zinc finger and BTB domain containing 48 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB49	zinc finger and BTB domain containing 49 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB5	zinc finger and BTB domain containing 5 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB7A	zinc finger and BTB domain containing 7A [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB7B	zinc finger and BTB domain containing 7B [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB7C	zinc finger and BTB domain containing 7C [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZBTB8A	zinc finger and BTB domain containing 8A [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZC3H8	zinc finger CCCH-type containing 8 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZFAT	zinc finger and AT-hook domain containing [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZFHX2	zinc finger homeobox 2 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZFHX3	zinc finger homeobox 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZFP14	ZFP14 zinc finger protein [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZFP3	ZFP3 zinc finger protein [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZFP30	ZFP30 zinc finger protein [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZFP64	ZFP64 zinc finger protein [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZFP69B	ZFP69 zinc finger protein B [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZFP90	ZFP90 zinc finger protein [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZFP91	ZFP91 zinc finger protein|atypical E3 ubiquitin ligase [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZFX	zinc finger protein X-linked [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZGLP1	zinc finger GATA like protein 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZGPAT	zinc finger CCCH-type and G-patch domain containing [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZHX1	zinc fingers and homeoboxes 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZHX3	zinc fingers and homeoboxes 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZKSCAN1	zinc finger with KRAB and SCAN domains 1 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZKSCAN3	zinc finger with KRAB and SCAN domains 3 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZKSCAN4	zinc finger with KRAB and SCAN domains 4 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZKSCAN5	zinc finger with KRAB and SCAN domains 5 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZNF10	zinc finger protein 10 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZNF100	zinc finger protein 100 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZNF101	zinc finger protein 101 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZNF117	zinc finger protein 117 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZNF12	zinc finger protein 12 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZNF121	zinc finger protein 121 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZNF124	zinc finger protein 124 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZNF131	zinc finger protein 131 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZNF132	zinc finger protein 132 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
ZNF133	zinc finger protein 133 [Source:HGNC Symbol	dbTF		dbTFs_OR_coTFs_in_AGS
