#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PI5Z_2h.txt#:type=:list
#Associated Gene Name	XPI5Z_2h_Rep1	XPI5Z_2h_Rep2	XPI5Z_2h_Rep3	XPI5Z_2h_Rep4	XDMSO_2h_Rep1_1	XDMSO_2h_Rep2_1	XDMSO_2h_Rep3_1	XDMSO_2h_Rep4_1	C: Student's T-test Significant PI5Z_2h_DMSO_2h	C: Student's T-test significant	N: Valid values XPI5Z_2h	N: Valid values XDMSO_2h	N: -Log Student's T-test p-value PI5Z_2h_DMSO_2h	N: Student's T-test q-value PI5Z_2h_DMSO_2h	N: Student's T-test Difference PI5Z_2h_DMSO_2h	N: Student's T-test Test statistic PI5Z_2h_DMSO_2h
ANO9	15.3287	14.999	15.6181	14.0993	15.3024	15.1248	15.2903	14.8263			4	2	0.135466	0.875365	-0.12465	-0.358791
FAM168B	16.2391	14.8563	15.2362	15.5232	15.5255	14.3592	14.9902	14.6952			4	4	0.729678	0.440378	0.571177	1.49181
ILVBL	18.1509	18.1628	17.8349	17.9042	18.9187	18.5212	18.2354	18.0533			4	4	1.05122	0.302501	-0.418916	-2.02828
PLEKHG3	17.8434	18.2159	18.0199	18.2641	17.9779	18.2464	18.1245	18.1947			4	4	0.172198	0.845973	-0.0500593	-0.443907
SH3PXD2B	18.0515	18.0897	17.9219	17.9272	18.0288	17.9772	17.8685	17.8025			4	4	0.544285	0.547915	0.0783491	1.17214
NBAS	15.7111	15.5454	15.7384	15.4443	15.7126	15.5052	15.7217	15.4149			4	4	0.0734341	0.933796	0.0212064	0.204887
TARSL2	14.7855	14.498	14.7021	13.6182	14.4797	14.6592	14.3452	13.7013			3	4	0.114453	0.897538	0.104611	0.308228
VWA8	21.369	21.1784	21.2376	21.132	21.1163	21.0565	21.155	21.128			4	4	1.08347	0.29365	0.115332	2.08193
SBNO1	16.9363	16.986	16.9961	17.0872	17.1506	16.9471	17.0157	17.0186			4	4	0.242441	0.785264	-0.0315905	-0.597186
GTPBP10	16.0625	16.1674	16.2816	16.1316	16.1823	16.04	16.1981	15.9528			4	4	0.398011	0.654093	0.0675039	0.905837
WDR91	16.2313	16.0211	15.9694	15.8779	15.2117	15.7907	15.6485	15.546			4	4	1.78476	0.148676	0.475718	3.29965
POTEF	14.4507	16.3262	15.1998	16.6851	16.992	18.0041	16.6872	16.6881			4	4	1.25802	0.239876	-1.42742	-2.37417
TMEM189	16.9028	16.6972	16.7673	16.5834	16.7377	16.7571	16.551	15.4862			4	4	0.52881	0.55579	0.354643	1.14471
CNOT1	18.9153	18.8124	18.8481	18.6577	18.9689	18.872	18.8814	18.8177			4	4	0.570169	0.530111	-0.0765986	-1.2177
ARHGEF35	15.4359	15.6819	15.5915	15.5517	14.9905	15.1271	15.367	15.4631			4	4	1.47292	0.198201	0.328342	2.74175
MAP1LC3B2	17.32	17.0277	16.9159	16.8634	17.2152	16.8455	16.6188	16.6681			4	4	0.532263	0.553531	0.194882	1.15084
MAP1LC3B	17.32	17.0277	16.9159	16.8634	17.2152	16.8455	16.6188	16.6681			4	4	0.532263	0.553531	0.194882	1.15084
FAM83G	15.8527	16.085	15.826	15.7466	15.9378	15.8306	16.0989	15.7172			4	4	0.0601919	0.944599	-0.0185351	-0.170025
PGP	18.2537	18.2408	18.2382	18.276	18.3245	18.394	18.3077	18.4448			4	4	1.89883	0.138166	-0.11558	-3.51314
C5orf51	16.2675	16.2845	16.4627	15.8536	15.3522	15.9406	16.3554	16.1817			4	4	0.460457	0.606718	0.259589	1.02162
RCCD1	13.3379	12.9156	13.2198	12.46	12.7265	13.3417	13.2972	13.2986			4	3	0.315346	0.715845	-0.182633	-0.746128
TUBAL3	18.5204	18.1773	18.2754	18.3129	18.8107	18.4603	18.4208	18.2781			4	4	0.602753	0.511382	-0.170982	-1.27455
SMCHD1	17.5991	17.5321	17.6729	17.5475	17.4938	17.5787	17.6232	17.626			4	4	0.0600076	0.944553	0.00750256	0.169534
GATSL2	15.5856	14.9788	15.2911	14.6157	15.1966	15.1776	15.1125	14.677			4	4	0.118481	0.893541	0.0768514	0.318037
UNC119B	16.6028	16.9225	17.0301	16.7474	16.835	16.9457	16.7735	16.9168			4	4	0.157946	0.856833	-0.0420475	-0.411342
METTL15	15.2348	15.3489	15.3681	15.3315	15.3903	15.0056	15.0641	15.0233			4	4	1.09246	0.289714	0.200001	2.0969
CCDC85C	15.8978	16.2685	15.9871	16.384	16.1358	16.0264	15.887	16.0603			4	4	0.368039	0.674588	0.106965	0.848881
RGPD3	18.9728	18.9418	18.9096	18.9888	18.87	18.9122	18.9257	18.9285			4	4	1.03091	0.308222	0.0441136	1.99452
RP11-683L23.1	19.0926	19.8942	19.6489	19.6654	19.9554	20.1977	20.2054	20.2508			4	4	1.70548	0.159295	-0.577093	-3.15447
ARHGAP32	13.9962	14.0064	13.9461	14.0793	14.3278	14.3691	13.919	13.2724			4	4	0.0477151	0.956241	0.034905	0.136419
POM121C	16.9632	16.9773	16.9615	16.9428	16.6704	16.861	16.7499	16.7656			4	4	2.61854	0.10905	0.199465	5.01879
C9orf169	15.9457	16.3261	16.3081	16.0439	15.4172	15.8598	16.3597	15.9091			4	4	0.590969	0.518088	0.269522	1.25405
SNRPG	20.1805	20.5224	20.4029	20.475	21.0732	21.0881	20.5848	20.2534			4	4	0.817848	0.3979	-0.354707	-1.64004
MIF4GD	13.6937	13.9912	13.6838	14.0523	15.9919	16.6746	14.4848	13.3408			3	4	0.839907	0.386328	-1.26777	-1.6769
GPR89A	16.5544	16.0993	16.1237	16.3084	16.3576	16.0763	16.053	16.0418			4	4	0.490107	0.582043	0.139274	1.07543
GPR89B	16.5544	16.0993	16.1237	16.3084	16.3576	16.0763	16.053	16.0418			4	4	0.490107	0.582043	0.139274	1.07543
TMEM238	16.3163	15.593	16.1383	16.3015	16.3664	15.9922	15.8972	15.5507			4	4	0.228971	0.796595	0.135621	0.568629
FAM195B	16.6547	16.3591	16.4781	16.4476	16.4271	15.9561	16.4359	16.4182			4	4	0.6283	0.498252	0.175554	1.31878
GOSR2	16.2662	16.6965	16.6391	16.8151	17.4141	17.0143	16.5705	16.7211			4	4	0.721581	0.446321	-0.325749	-1.47811
KLC1	18.323	18.4542	18.4579	18.4066	18.3088	18.4492	18.4628	18.2894			4	4	0.241201	0.786235	0.0328884	0.594573
RAPGEF6	13.913	16.0504	16.2526	16.3043	17.1606	16.996	16.3373	16.2072			4	3	0.842373	0.385169	-1.04518	-1.68102
RAPGEF2	13.913	16.0504	16.2526	16.3043	17.1606	16.996	16.3373	16.2072			4	3	0.842373	0.385169	-1.04518	-1.68102
MTG1	17.2388	17.0952	17.1036	17.0065	17.0189	17.2893	17.1137	16.9385			4	4	0.0847863	0.922466	0.0209317	0.234159
VKORC1	16.4595	16.6905	16.2977	17.0084	16.3104	16.9491	16.6691	16.6924			4	4	0.0728741	0.934235	-0.0412002	-0.203429
BCKDHA	16.9859	17.1746	17.2296	16.8235	17.0099	16.9132	17.148	17.0103			4	4	0.117852	0.894116	0.033083	0.316509
SPECC1L	15.5739	16.0743	16.0683	15.92	15.5359	15.7409	15.9685	15.991			4	4	0.258031	0.771083	0.10006	0.629801
PTGR2	12.1553	12.2176	12.3823	12.4125	15.4079	13.2323	12.0447	12.0344			2	4	0.51193	0.56877	-0.887883	-1.11462
PI4K2B	15.4225	15.1246	15.4279	15.4028	16.4265	16.2488	15.8229	15.4566			4	4	1.50696	0.190275	-0.644225	-2.80107
TRAPPC2L	17.253	17.2375	17.2952	17.4137	17.3549	17.4664	17.0947	17.1471			4	4	0.133811	0.87655	0.03407	0.354862
PAGR1	15.8403	15.9649	16.1606	15.7239	15.5478	15.5579	15.4242	15.3755			4	4	2.29158	0.121675	0.446067	4.29692
STX16	16.6064	16.2873	16.2603	16.1187	16.4621	16.263	16.1179	16.459			4	4	0.0187043	0.983345	-0.00730038	-0.0551022
SYS1	14.3745	15.5267	15.4689	15.9385	17.5899	17.2954	15.6975	14.4987			4	4	0.551717	0.543363	-0.943263	-1.18526
GABARAP	10.4613	12.3777	12.2848	14.404	15.5818	15.912	15.0889	13.9248			4	3	1.61877	0.17177	-2.74496	-2.99845
GABARAPL1	10.4613	12.3777	12.2848	14.404	15.5818	15.912	15.0889	13.9248			4	3	1.61877	0.17177	-2.74496	-2.99845
RPL36A	19.4714	19.6342	19.6867	19.7172	19.2018	19.6991	19.4442	21.285			4	4	0.239844	0.787595	-0.280129	-0.591707
RPL26	22.1888	22.1222	22.3582	22.3862	22.06	22.2007	22.252	22.7543			4	4	0.119973	0.891866	-0.0529013	-0.321656
VAMP2	17.4359	17.4895	17.7525	17.7304	17.5074	17.4765	17.7706	17.8667			4	4	0.162349	0.85413	-0.0532002	-0.421463
DNASE2	17.6896	17.5898	17.9634	17.8575	17.5738	17.6551	18.0521	18.0641			4	4	0.152159	0.862736	-0.0612311	-0.397956
AGPS	19.6274	19.7929	19.819	19.7355	19.7536	19.7704	19.8068	19.7333			4	4	0.194252	0.829412	-0.0223274	-0.493255
KIF2A	18.9685	19.0311	18.9258	18.9465	18.9405	18.9068	18.9084	18.8972			4	4	1.16665	0.263689	0.0547614	2.2207
DDX39A	22.5994	22.7284	22.7031	22.6671	22.6325	22.6543	22.5711	22.6342			4	4	0.761485	0.424108	0.051465	1.54547
PDLIM1	21.5821	21.6378	21.673	21.7642	21.5478	21.678	21.6409	21.6126			4	4	0.418416	0.640375	0.0444388	0.944073
ACOT7	21.1339	21.0858	21.0232	20.9803	21.104	21.0656	20.9113	20.8472			4	4	0.478136	0.591876	0.0737681	1.05379
MYO1C	20.0415	19.9295	19.9843	19.9378	20.0228	20.02	20.033	19.9258			4	4	0.320193	0.712351	-0.0271163	-0.755734
SNAP23	17.8091	17.8824	17.9599	17.9805	17.5935	17.5951	17.8548	18.0456			4	4	0.539572	0.549541	0.135745	1.1638
HAX1	15.9025	16.1029	16.8668	16.3969	16.2412	15.8591	16.2578	16.4358			4	4	0.193158	0.830566	0.118809	0.490836
AIP	17.8886	17.9749	17.8773	17.8374	17.7811	17.9019	17.9831	17.75			4	4	0.273123	0.75602	0.0405488	0.660955
GTPBP1	17.9898	17.7611	17.9219	17.7856	18.1687	18.0359	17.9587	17.844			4	4	0.775897	0.418146	-0.137202	-1.56971
STXBP3	18.8202	18.7335	18.8667	18.5776	18.537	18.5776	18.7719	18.7003			4	4	0.577149	0.525499	0.102833	1.22992
AP4M1	14.9701	15.0781	14.9453	14.9707	14.7625	15.3208	14.9541	15.6288			4	4	0.394781	0.655944	-0.175468	-0.899746
C11orf58	16.8083	17.1664	17.4001	17.2238	16.8908	16.995	17.2975	17.2701			4	4	0.081897	0.925651	0.0362735	0.22676
RAB27B	16.008	15.986	16.0901	16.3706	17.339	16.8056	16.1689	16.2228			4	4	0.912239	0.352702	-0.520376	-1.79739
AP3B1	20.143	20.0359	20.1002	20.0593	20.2767	20.2142	20.1591	20.0542			4	4	0.873501	0.371207	-0.091434	-1.73292
SULT2B1	16.9153	16.9944	17.2064	17.2277	16.9712	16.8773	17.1588	17.1535			4	4	0.17002	0.847627	0.0457406	0.438968
LGALS8	15.897	16.2293	16.3896	16.1974	16.031	16.0875	16.272	16.3519			4	4	0.0194004	0.982988	-0.00728703	-0.05711
NDUFS8	18.3369	18.2055	18.4866	18.3982	18.7767	18.6179	18.6804	18.7009			4	4	2.60773	0.107759	-0.337164	-4.99378
TNFRSF10A	15.9745	16.0553	16.0812	16.0589	15.8073	16.0641	16.304	16.1493			4	4	0.137496	0.874334	-0.0387273	-0.3636
PSMD11	19.667	19.6081	19.5839	19.6527	19.5391	19.5219	19.4791	19.4964			4	4	2.63936	0.110474	0.118806	5.06724
PSMD12	19.9615	20.181	20.1299	20.1791	20.2769	20.3391	20.2052	20.2254			4	4	1.32429	0.22635	-0.14877	-2.48639
PSMD9	18.8705	18.9498	18.8245	18.8924	18.8117	18.987	18.8502	18.9399			4	4	0.0988701	0.910301	-0.0129166	-0.26974
ATOX1	16.7569	17.0454	17.0782	17.1783	16.6991	16.7263	16.9036	16.8574			4	4	1.10269	0.288303	0.218126	2.11394
MEN1	16.6589	16.6852	16.5052	15.631	17.0827	16.5113	16.5844	16.5174			4	4	0.485467	0.586488	-0.303892	-1.06705
CBX4	16.7951	16.6601	16.8187	16.6454	16.8124	16.6249	16.7949	16.8529			4	4	0.250841	0.7777	-0.0414348	-0.614815
PGRMC1	20.4781	20.6839	20.6176	20.5275	20.4086	20.4602	20.5621	20.6278			4	4	0.405731	0.649095	0.0620747	0.920353
SUPT5H	19.3026	19.3215	19.318	19.3578	19.2674	19.2682	19.1822	19.3861			4	4	0.518467	0.56402	0.0489693	1.12629
TAF4	15.5102	15.2907	15.3596	15.1743	15.1779	14.8833	15.2979	15.0375			4	4	1.07182	0.296692	0.234543	2.06254
DFFA	17.2201	17.1619	17.2753	17.1875	17.263	17.2019	17.267	17.154			4	4	0.103897	0.906065	-0.0102806	-0.282253
RFXAP	11.3912	11.7575	11.7373	11.8414	11.0791	11.4713	11.7249	11.7936			4	3	0.37774	0.668351	0.164646	0.867424
CLIC1	23.4103	23.1299	23.197	23.082	23.3811	23.261	23.2951	23.2495			4	4	0.544549	0.547689	-0.0918541	-1.1726
EIF3F	20.4045	20.392	20.3804	20.3771	20.3393	20.2629	20.275	20.2178			4	4	2.36026	0.121126	0.114743	4.44283
WWP2	15.9858	15.6396	15.8221	16.1194	16.3037	15.8517	15.7742	15.0247			4	4	0.214728	0.810336	0.153134	0.53803
PDHX	18.2681	18.114	18.1337	18.0119	18.1311	17.9989	18.0936	18.1776			4	4	0.191724	0.830366	0.0316443	0.48766
QSOX1	17.2959	17.083	17.1238	17.1104	17.42	16.9695	17.2163	17.0775			4	4	0.0570239	0.947398	-0.0175376	-0.161564
DCTN6	17.6999	17.7283	17.6989	17.8285	17.7942	17.8727	17.8913	17.5768			4	4	0.230594	0.79592	-0.0448351	-0.57209
SLC33A1	16.8461	16.3986	16.5016	16.3736	16.4741	16.6812	16.4617	16.4647			4	4	0.0268335	0.976938	0.00951719	0.078368
WASL	16.9967	17.1941	16.8652	17.1836	16.9162	17.279	17.015	17.0782			4	4	0.0382708	0.964237	-0.0121665	-0.110457
IPO5	21.0969	21.1382	21.0713	21.1385	21.2859	21.2332	21.1833	21.0727			4	4	0.857705	0.377495	-0.0825739	-1.7066
POLRMT	15.5987	15.6263	15.54	15.6846	16.0103	15.5916	15.4393	15.364			4	4	0.0256999	0.976673	0.0110776	0.0751468
SAP18	16.3876	17.1995	17.4415	18.0867	19.5229	19.7002	18.6743	17.9618			4	4	1.70695	0.159492	-1.686	-3.15715
DNM1L	19.3954	19.3071	19.3693	19.4183	19.5561	19.4837	19.4187	19.3441			4	4	0.749334	0.42939	-0.0781107	-1.52501
RTCA	18.3855	18.362	18.3022	18.2857	18.4229	18.3169	18.3385	18.1625			4	4	0.152683	0.862575	0.0236554	0.399173
PIK3C2A	17.9035	17.8163	17.8402	17.7593	17.9657	17.9774	17.7852	17.7252			4	4	0.187052	0.836039	-0.0335698	-0.477278
IFRD1	15.0974	15.414	16.4049	15.6363	15.3019	15.7108	16.5579	16.3818			4	4	0.377172	0.668198	-0.349945	-0.866341
GOLIM4	15.0819	14.945	15.5736	15.1307	14.7756	14.7517	15.0425	15.2549			4	3	0.589746	0.518934	0.226626	1.25192
MANBA	16.8106	16.7978	16.8667	16.7147	16.8335	16.9314	16.9237	17.0771			4	4	1.28852	0.235174	-0.143994	-2.42573
AGRN	18.4016	18.1724	18.0935	18.0103	18.517	18.1315	18.1354	18.1262			4	4	0.176503	0.843537	-0.058085	-0.453639
EXOC5	17.6602	17.5093	17.5824	17.5725	17.5014	17.4388	17.4657	17.6382			4	4	0.615562	0.505958	0.0700631	1.29676
NDUFA4	19.5449	19.3797	19.7056	19.0143	19.6565	19.9338	19.9885	20.2123			4	4	1.54592	0.184742	-0.536621	-2.86939
PSMD14	20.0084	20.1337	19.9926	19.962	19.9949	20.0875	19.9759	20.078			4	4	0.0756343	0.931489	-0.00995493	-0.210603
ZNF593	16.3075	16.6493	16.295	16.8518	16.7037	16.6967	16.3157	16.5532			4	4	0.0923061	0.915316	-0.0414395	-0.253254
BIN1	17.1198	16.6693	17.1211	17.0642	17.064	16.9734	17.0199	16.8503			4	4	0.0493636	0.955308	0.0166612	0.140903
KPNA3	19.3234	19.2659	19.1653	19.529	19.8137	19.4553	19.3541	19.3809			4	4	0.659789	0.48379	-0.180067	-1.37291
USP9Y	17.7873	17.8979	17.9065	17.7897	17.9846	17.7383	17.863	17.6534			4	4	0.173382	0.845627	0.0355263	0.446589
LAD1	19.2666	19.454	19.4722	19.5126	19.0066	19.1704	19.3341	19.3043			4	4	1.27524	0.238173	0.222535	2.40326
PES1	19.1656	19.1887	19.1964	19.3609	19.1494	19.2719	19.2233	19.3112			4	4	0.0694568	0.937685	-0.0110421	-0.194499
SDCBP	19.3927	19.1643	19.058	19.1524	19.2779	19.0391	18.9533	18.9154			4	4	0.644426	0.4919	0.14547	1.34655
PITPNM1	13.6451	13.6033	13.5809	12.8643	13.8025	13.8445	13.2797	13.8073			4	3	0.519713	0.562476	-0.260075	-1.12851
MPHOSPH10	16.6374	17.0264	17.1249	17.0785	17.1278	16.9647	17.0957	17.0115			4	4	0.295277	0.733809	-0.0831351	-0.70599
NOP56	20.1833	20.1958	20.2274	20.2716	20.1352	20.221	20.2153	20.2577			4	4	0.143464	0.869437	0.0122528	0.377661
DDX3X	21.2729	21.3581	21.3038	21.3337	21.227	21.3546	21.219	21.3171			4	4	0.441446	0.623854	0.0377374	0.986748
RNASET2	18.417	18.4322	18.6489	18.5018	18.323	18.1981	18.4979	18.3752			4	4	0.946728	0.339355	0.151426	1.85471
PODXL	18.8614	18.9426	19.0341	19.0948	19.0135	19.2965	19.2002	19.5886			4	4	1.17452	0.261119	-0.291484	-2.23387
PIR	16.9432	16.6803	16.8831	16.3228	16.5689	16.9587	16.8585	16.9514			4	4	0.322295	0.710314	-0.12703	-0.75989
KPNA4	16.9078	17.3382	17.3238	17.4406	17.8548	17.6624	17.5371	17.7599			4	4	1.793	0.145504	-0.450939	-3.31489
E2F3	16.1602	16.3657	15.934	15.9308	17.3267	17.166	15.9378	16.1892			4	4	0.757396	0.425745	-0.557253	-1.53859
PPP6C	18.3708	18.2616	18.3986	18.2344	18.3112	18.2816	18.2992	18.4412			4	4	0.115953	0.895819	-0.0169435	-0.311888
CES2	16.0441	16.0496	15.9422	15.9702	16.3136	16.3445	16.4856	16.242			4	4	3.00679	0.0809524	-0.344939	-5.97661
PIK3C2B	16.4339	16.0849	16.2447	16.2848	16.2812	16.3142	16.1604	16.1029			4	4	0.216777	0.807971	0.047368	0.542457
MAN2B1	17.5247	17.6599	17.4994	17.5869	17.7429	17.9146	17.6891	17.4513			4	4	0.611276	0.507777	-0.13173	-1.28934
UBE2C	18.9484	18.9393	18.3866	18.9614	19.2092	18.9815	18.2917	18.4385			4	4	0.112446	0.899827	0.0787039	0.303322
PDXK	19.1608	19.2712	19.2889	19.2952	19.5321	19.5375	19.4344	19.5103			4	4	3.13537	0.114963	-0.249515	-6.32148
SCD	18.199	18.2518	18.4948	17.8052	17.4563	18.3955	18.6559	18.6375			4	4	0.11562	0.896444	-0.0986023	-0.311076
PPAP2A	15.5291	15.5673	15.7514	16.0962	17.2371	17.268	16.4376	16.6155			4	4	2.44671	0.114714	-1.15354	-4.6307
ARID1A	18.4644	18.5603	18.453	18.6045	18.4465	18.4657	18.3647	18.5307			4	4	0.654673	0.487232	0.0686359	1.36414
SOCS2	15.5916	15.7208	15.4828	15.7897	15.8842	15.9335	15.5541	15.766			4	4	0.602121	0.511821	-0.138232	-1.27345
SDHD	17.1332	17.0353	17.1618	16.8433	17.1665	17.4534	16.9998	16.9258			4	4	0.280587	0.748502	-0.0929251	-0.676218
TMEM194A	15.1859	15.9464	15.5484	15.6718	15.8935	15.8503	16.0511	16.1899			4	4	1.22633	0.24972	-0.408096	-2.32081
CUX2	15.9552	16.1296	16.1404	15.911	15.7791	16.2205	16.3054	16.2376			4	4	0.321467	0.711069	-0.101575	-0.758254
TXNDC9	19.0754	19.3888	19.0805	19.3866	19.1163	19.1817	19.081	18.9848			4	4	0.700155	0.457447	0.141879	1.44177
TRAFD1	13.4445	13.2348	13.4587	13.7835	13.2394	13.5639	12.7561	14.1458			4	4	0.0612478	0.943955	0.054074	0.172834
COX7A2L	16.2718	15.9537	15.6243	15.6712	15.9559	15.723	15.8252	15.6564			4	4	0.221534	0.803237	0.0901201	0.552704
NDUFAB1	19.0108	19.0831	18.9138	18.809	18.821	18.7275	18.668	18.6764			4	4	1.80659	0.146553	0.230971	3.34008
UBFD1	17.9452	17.839	17.9515	17.7897	17.7555	17.6744	17.6197	18.0985			4	4	0.354292	0.684891	0.0943213	0.822415
CYB561D2	14.8181	14.9335	15.2774	15.2573	14.7757	14.7844	14.9863	15.9907			4	4	0.0719681	0.935247	-0.0626867	-0.201066
CIT	15.5017	16.0443	15.7163	15.4044	15.0526	15.6666	15.3586	15.5725			4	4	0.613342	0.506849	0.254144	1.29292
COPE	18.8637	18.9047	18.9503	18.8446	19.0042	18.8965	18.9865	18.8686			4	4	0.55023	0.544284	-0.0481339	-1.18264
RFXANK	12.4899	13.55	13.6128	13.3476	14.1424	13.4662	14.2992	13.4977			4	4	0.902486	0.359414	-0.60131	-1.78117
CDC42EP2	17.3023	16.8065	17.3576	16.6532	17.4219	16.5057	16.9915	15.5611			4	4	0.415388	0.642171	0.409847	0.938424
AP3D1	18.863	18.8977	18.8793	18.8481	18.9445	18.9581	18.9247	18.9167			4	4	2.38705	0.115688	-0.0640249	-4.50054
CCS	17.0131	17.4534	17.2615	17.3336	17.2572	17.3525	17.288	17.3847			4	4	0.228045	0.797225	-0.0551891	-0.566652
ABLIM1	16.0943	16.0953	16.2224	16.3782	15.8674	16.179	16.1596	16.5217			4	4	0.0360134	0.967277	0.0156057	0.104181
DVL1	14.5263	14.6342	13.972	14.3056	14.3652	13.7826	14.3032	13.298			4	4	0.709917	0.451861	0.422238	1.45834
DVL2	17.1257	17.4596	16.7343	17.2502	16.9597	17.3327	16.6435	17.5133			4	4	0.042522	0.959236	0.0301714	0.122201
CHD1	16.443	16.5135	16.5805	16.5154	16.5653	16.7753	16.7571	16.8359			4	4	1.83546	0.143587	-0.220292	-3.39385
CHD2	16.6087	16.5605	16.5975	16.6029	16.7485	16.6607	16.5504	16.6473			4	4	0.683151	0.470586	-0.0593147	-1.41283
TOR1A	17.3916	17.2829	17.4945	17.3533	17.8367	17.8857	17.5556	17.455			4	4	1.42118	0.207204	-0.302676	-2.65222
TOR1B	17.0363	16.9228	16.9737	16.8516	16.9298	16.7199	16.959	16.7526			4	4	0.713343	0.451365	0.105776	1.46416
ADAM10	18.3184	18.427	18.5897	18.5865	18.1626	18.3238	18.4688	18.46			4	4	0.615658	0.506114	0.126572	1.29693
ABCD4	13.6885	14.7394	14.9941	14.553	14.3945	14.6019	15.1588	14.9832			4	4	0.381471	0.665196	-0.290881	-0.874528
EI24	18.4281	18.1057	18.0448	18.0989	17.9151	18.0269	18.005	17.8422			4	4	1.20553	0.253622	0.222068	2.28585
ENC1	17.4033	17.3743	17.387	17.5135	18.0078	18.1058	17.6635	17.7483			4	4	2.25462	0.119232	-0.461816	-4.21956
KMT2D	14.4418	14.0654	13.7885	13.7746	14.9078	14.3086	14.0406	13.4254			4	4	0.172048	0.845937	-0.153037	-0.443568
APAF1	14.7892	14.4281	14.7851	14.3054	14.55	14.7822	14.7854	14.8401			4	4	0.539055	0.550055	-0.162461	-1.16288
RIOK3	16.1613	16.4183	16.858	16.5594	15.7442	16.6855	16.9092	17.0468			4	4	0.109664	0.900601	-0.0971355	-0.296493
MAP2K7	15.4204	15.5853	15.75	15.4845	15.5362	15.7567	15.5337	15.7296			4	4	0.364418	0.678317	-0.0789917	-0.841931
