#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PI5Z_2h.txt#:type=:list
#Associated Gene Name	XPI5Z_2h_Rep1	XPI5Z_2h_Rep2	XPI5Z_2h_Rep3	XPI5Z_2h_Rep4	XDMSO_2h_Rep1_1	XDMSO_2h_Rep2_1	XDMSO_2h_Rep3_1	XDMSO_2h_Rep4_1	C: Student's T-test Significant PI5Z_2h_DMSO_2h	C: Student's T-test significant	N: Valid values XPI5Z_2h	N: Valid values XDMSO_2h	N: -Log Student's T-test p-value PI5Z_2h_DMSO_2h	N: Student's T-test q-value PI5Z_2h_DMSO_2h	N: Student's T-test Difference PI5Z_2h_DMSO_2h	N: Student's T-test Test statistic PI5Z_2h_DMSO_2h
GNG10	18.436	17.4677	17.5208	17.6996	18.241	17.7614	17.8154	17.3437			4	4	0.0108395	0.991813	-0.00932407	-0.032209
TMA7	14.2632	13.5421	14.5384	15.2611	14.4617	16.508	16.2799	19.0797			4	4	1.12452	0.280441	-2.18113	-2.15033
ALG9	17.03	17.2765	17.3113	17.1007	17.3601	17.6168	17.6662	17.4431			4	4	1.86808	0.141593	-0.341949	-3.45502
ARHGEF18	15.8807	15.2811	15.5186	15.1665	15.3525	15.0095	14.8205	15.4162			4	4	0.718444	0.4482	0.312061	1.4728
TMED7	17.8483	17.7438	17.9174	17.8937	17.841	17.8508	17.8908	18.0839			4	4	0.426886	0.635339	-0.0658202	-0.959825
ZFP91	14.7845	15.5935	15.589	15.6287	15.1784	15.1505	15.2407	15.2885			4	4	0.38931	0.660437	0.184401	0.889404
C15orf38	16.3476	16.4321	16.5715	16.7214	17.2034	16.7372	16.93	16.8891			4	4	1.79467	0.145482	-0.421765	-3.31797
RPL17	22.0737	22.0371	21.9853	22.13	21.9233	21.8763	22.0465	21.9743			4	4	1.11507	0.283258	0.10142	2.13457
PPAN	17.7847	17.6474	17.7596	17.7259	17.698	17.5813	17.5338	17.5586			4	4	1.56408	0.182279	0.136484	2.90139
SRCAP	16.4232	16.2677	16.2974	16.0163	16.0652	15.7898	16.1263	16.0879			4	4	1.0566	0.300938	0.233832	2.03722
ZNF320	15.3006	14.7172	14.6842	14.5077	14.2869	14.1439	13.9482	15.3632			4	3	0.457938	0.607879	0.366867	1.01702
ZNF845	15.3006	14.7172	14.6842	14.5077	14.2869	14.1439	13.9482	15.3632			4	3	0.457938	0.607879	0.366867	1.01702
AHR	15.9293	15.8704	16.3577	15.5974	16.456	17.2222	16.7487	16.3333			4	4	1.60554	0.172244	-0.751373	-2.97488
PARL	16.8535	16.8674	16.9544	16.5319	17.635	17.7319	17.3098	16.3941			4	4	0.71214	0.451252	-0.465897	-1.46212
GDPGP1	14.7511	14.1921	14.3132	14.3026	15.6403	15.4466	14.9082	13.1117			4	4	0.271041	0.757534	-0.386966	-0.65668
RBM47	17.4599	17.5374	17.6155	17.5167	17.3558	17.441	17.5636	17.7088			4	4	0.0644446	0.94122	0.0150967	0.181308
TTC26	14.6274	15.2282	15.0008	15.241	16.8056	16.1674	14.6074	14.309			4	4	0.303686	0.72524	-0.447999	-0.722881
UBA6	19.5416	19.5004	19.5455	19.4901	19.4904	19.4584	19.4838	19.444			4	4	1.51759	0.18958	0.0502496	2.81967
ESYT2	18.3318	18.3552	18.3217	18.2666	18.2631	18.2886	18.3469	18.4005			4	4	0.058464	0.946492	-0.00595665	-0.165416
MED19	15.5895	16.1479	16.2915	16.1439	16.2616	16.2413	16.4468	16.3019			4	4	0.833327	0.389282	-0.269675	-1.66591
KIAA1598	18.8061	18.924	18.9099	18.9446	18.8333	18.8778	18.8833	18.9244			4	4	0.177935	0.84226	0.0164642	0.456864
ARHGAP10	14.3111	15.0976	14.7794	14.996	15.5001	15.7518	14.977	14.7251			4	4	0.740497	0.434423	-0.442467	-1.51009
