#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PD_2h.txt#:type=:list
#Associated Gene Name	XPD_2h_Rep1	XPD_2h_Rep2	XPD_2h_Rep3	XPD_2h_Rep4	XDMSO_2h_Rep1_1	XDMSO_2h_Rep2_1	XDMSO_2h_Rep3_1	XDMSO_2h_Rep4_1	C: Student's T-test Significant PD_2h_DMSO_2h	C: Student's T-test significant	N: Valid values XPD_2h	N: Valid values XDMSO_2h	N: -Log Student's T-test p-value PD_2h_DMSO_2h	N: Student's T-test q-value PD_2h_DMSO_2h	N: Student's T-test Difference PD_2h_DMSO_2h	N: Student's T-test Test statistic PD_2h_DMSO_2h
POTEF	16.6508	16.5749	16.7737	15.5343	16.992	18.0041	16.6872	16.6881			3	4	0.839298	0.734746	-0.709437	-1.67589
TMEM189	16.267	16.8381	16.6832	16.8424	16.7377	16.7571	16.551	15.4862			4	4	0.357558	0.933026	0.274667	0.828722
CNOT1	18.9397	18.8411	18.8842	18.8567	18.9689	18.872	18.8814	18.8177			4	4	0.041894	0.992059	-0.0045867	-0.120472
ARHGEF35	14.8386	15.579	15.4686	15.4241	14.9905	15.1271	15.367	15.4631			4	4	0.177948	0.972007	0.0906482	0.456892
MAP1LC3B2	16.5048	16.855	16.769	16.7287	17.2152	16.8455	16.6188	16.6681			4	4	0.3394	0.931497	-0.122521	-0.793481
MAP1LC3B	16.5048	16.855	16.769	16.7287	17.2152	16.8455	16.6188	16.6681			4	4	0.3394	0.931497	-0.122521	-0.793481
FAM83G	14.7285	16.0403	16.1288	16.1751	15.9378	15.8306	16.0989	15.7172			4	4	0.135267	0.984456	-0.127941	-0.358318
PGP	18.201	18.2343	18.3206	18.3494	18.3245	18.394	18.3077	18.4448			4	4	0.993781	0.664781	-0.0914207	-1.93285
C5orf51	15.0683	16.3296	16.5402	16.2287	15.3522	15.9406	16.3554	16.1817			4	4	0.0762599	0.992902	0.0842018	0.212225
TUBAL3	18.2609	18.7751	18.6221	18.578	18.8107	18.4603	18.4208	18.2781			4	4	0.164184	0.978072	0.0665469	0.425664
SMCHD1	17.4739	17.5674	17.6293	17.4422	17.4938	17.5787	17.6232	17.626			4	4	0.441942	0.920512	-0.0522027	-0.987661
GATSL2	14.5038	15.1728	14.8728	15.2407	15.1966	15.1776	15.1125	14.677			4	4	0.174376	0.972793	-0.093395	-0.448836
UNC119B	16.0911	16.9348	16.7642	16.8741	16.835	16.9457	16.7735	16.9168			4	4	0.456656	0.909253	-0.201704	-1.01467
METTL15	15.0722	15.1582	15.1429	15.0963	15.3903	15.0056	15.0641	15.0233			4	4	0.0123924	0.998009	-0.00341272	-0.0367602
CCDC85C	16.0133	16.1894	16.0148	16.0551	16.1358	16.0264	15.887	16.0603			4	4	0.249317	0.959389	0.0407488	0.611626
RGPD3	18.9804	18.9335	18.8646	19.0106	18.87	18.9122	18.9257	18.9285			4	4	0.506001	0.890778	0.038157	1.104
RP11-683L23.1	20.2574	19.08	19.687	20.0497	19.9554	20.1977	20.2054	20.2508			4	4	0.69934	0.799902	-0.383847	-1.44038
ARHGAP32	13.8686	13.8424	14.0828	13.5373	14.3278	14.3691	13.919	13.2724			3	4	0.197789	0.967365	-0.139324	-0.501059
POM121C	16.7112	16.8567	16.8105	16.9124	16.6704	16.861	16.7499	16.7656			4	4	0.47839	0.899714	0.0609627	1.05425
C9orf169	16.9946	16.6363	15.8859	15.4334	15.4172	15.8598	16.3597	15.9091			4	4	0.379875	0.930392	0.351124	0.871492
SNRPG	20.752	20.6316	20.2212	20.4675	21.0732	21.0881	20.5848	20.2534			4	4	0.446112	0.915771	-0.231824	-0.995337
MIF4GD	13.5462	14.0857	14.5716	14.0433	15.9919	16.6746	14.4848	13.3408			4	4	0.654179	0.82289	-1.06132	-1.36329
GPR89A	16.389	16.0593	15.994	15.9608	16.3576	16.0763	16.053	16.0418			4	4	0.0923728	0.988218	-0.0313942	-0.253423
GPR89B	16.389	16.0593	15.994	15.9608	16.3576	16.0763	16.053	16.0418			4	4	0.0923728	0.988218	-0.0313942	-0.253423
TMEM238	16.9552	16.277	16.2369	16.0941	16.3664	15.9922	15.8972	15.5507			4	4	0.866944	0.718071	0.439183	1.722
FAM195B	16.9983	16.4044	16.4263	16.4178	16.4271	15.9561	16.4359	16.4182			4	4	0.645053	0.829091	0.252392	1.34762
GOSR2	17.164	16.7561	16.9034	16.7847	17.4141	17.0143	16.5705	16.7211			4	4	0.0470326	0.990426	-0.0279589	-0.134558
KLC1	18.2635	18.4685	18.3795	18.4933	18.3088	18.4492	18.4628	18.2894			4	4	0.128601	0.985393	0.0236702	0.342433
RAPGEF6	13.4115	15.4807	16.3194	16.1148	17.1606	16.996	16.3373	16.2072			4	3	0.977005	0.672738	-1.34367	-1.90499
RAPGEF2	13.4115	15.4807	16.3194	16.1148	17.1606	16.996	16.3373	16.2072			4	3	0.977005	0.672738	-1.34367	-1.90499
MTG1	17.082	17.171	17.3492	17.167	17.0189	17.2893	17.1137	16.9385			4	4	0.496446	0.892629	0.10224	1.08685
VKORC1	16.8332	16.7068	16.5962	16.2551	16.3104	16.9491	16.6691	16.6924			4	4	0.118422	0.987366	-0.0574293	-0.317894
BCKDHA	16.8387	17.1092	17.1449	17.0404	17.0099	16.9132	17.148	17.0103			4	4	0.0545821	0.987753	0.012979	0.155009
SPECC1L	15.6944	15.7117	15.9671	16.014	15.5359	15.7409	15.9685	15.991			4	4	0.10201	0.988137	0.0377266	0.277568
PTGR2	14.0225	12.7926	12.9589	13.0631	15.4079	13.2323	12.0447	12.0344			4	4	0.0117986	0.998032	0.0294521	0.0350217
PI4K2B	14.987	15.5248	15.5436	15.4486	16.4265	16.2488	15.8229	15.4566			4	4	1.27808	0.574733	-0.612676	-2.40806
TRAPPC2L	17.3938	17.472	17.1633	17.3989	17.3549	17.4664	17.0947	17.1471			4	4	0.357433	0.932577	0.0912061	0.828481
PAGR1	15.7867	15.6395	15.8738	16.0835	15.5478	15.5579	15.4242	15.3755			3	4	1.9328	0.414536	0.369536	3.57783
STX16	16.4223	16.3066	16.5186	16.1585	16.4621	16.263	16.1179	16.459			4	4	0.0825691	0.990911	0.0260262	0.228484
SYS1	13.4673	15.0912	16.4173	15.092	17.5899	17.2954	15.6975	14.4987			4	4	0.635756	0.836902	-1.25345	-1.33163
RPL36A	19.6559	18.8952	19.2622	19.421	19.2018	19.6991	19.4442	21.285			4	4	0.563496	0.869609	-0.598957	-1.20599
RPL26	22.7214	22.0673	21.7901	22.1345	22.06	22.2007	22.252	22.7543			4	4	0.224605	0.967706	-0.138405	-0.559295
VAMP2	17.3701	17.6758	17.6371	17.6674	17.5074	17.4765	17.7706	17.8667			4	4	0.224689	0.967966	-0.0677075	-0.559475
DNASE2	17.8391	17.6302	17.8705	17.5206	17.5738	17.6551	18.0521	18.0641			4	4	0.33601	0.932502	-0.121206	-0.786853
AGPS	19.433	19.7183	19.9008	19.714	19.7536	19.7704	19.8068	19.7333			4	4	0.323529	0.938768	-0.0745468	-0.762327
KIF2A	19.0871	18.9456	18.9044	18.9967	18.9405	18.9068	18.9084	18.8972			4	4	0.874697	0.716031	0.0702419	1.73492
DDX39A	22.6363	22.693	22.656	22.6294	22.6325	22.6543	22.5711	22.6342			4	4	0.637095	0.837569	0.0306544	1.33393
PDLIM1	21.6152	21.7257	21.8569	21.7297	21.5478	21.678	21.6409	21.6126			4	4	1.0228	0.660559	0.112025	1.98104
ACOT7	20.9563	21.1148	20.9217	21.1077	21.104	21.0656	20.9113	20.8472			4	4	0.21746	0.96843	0.043097	0.543933
MYO1C	19.9267	19.9543	19.9335	19.9794	20.0228	20.02	20.033	19.9258			4	4	0.959648	0.686636	-0.0519142	-1.87617
SNAP23	17.5809	17.7722	17.8388	17.826	17.5935	17.5951	17.8548	18.0456			4	4	0.0499189	0.989258	-0.0178037	-0.142411
HAX1	15.8106	16.2443	16.9415	15.9677	16.2412	15.8591	16.2578	16.4358			4	4	0.0538349	0.988069	0.0425355	0.152998
AIP	17.8205	18.0764	18.0143	17.8969	17.7811	17.9019	17.9831	17.75			4	4	0.583709	0.860901	0.0980115	1.24139
GTPBP1	18.1549	17.8203	17.8509	17.9246	18.1687	18.0359	17.9587	17.844			4	4	0.258023	0.95806	-0.0641251	-0.629783
STXBP3	18.7351	18.7065	18.7362	18.6931	18.537	18.5776	18.7719	18.7003			4	4	0.608383	0.846766	0.0710478	1.28432
AP4M1	15.473	14.89	13.9364	14.6715	14.7625	15.3208	14.9541	15.6288			4	4	0.526636	0.880513	-0.423804	-1.14084
C11orf58	16.8631	17.3606	17.3169	17.374	16.8908	16.995	17.2975	17.2701			4	4	0.30561	0.943164	0.115285	0.726732
RAB27B	16.3019	16.3328	16.4162	16.228	17.339	16.8056	16.1689	16.2228			4	4	0.520064	0.883477	-0.314346	-1.12914
AP3B1	20.19	20.1275	20.1145	20.1144	20.2767	20.2142	20.1591	20.0542			4	4	0.332705	0.934422	-0.039443	-0.78038
SULT2B1	17.0548	17.0654	17.2056	17.0648	16.9712	16.8773	17.1588	17.1535			4	4	0.30864	0.943856	0.0574694	0.732782
LGALS8	15.8279	16.3286	16.1497	16.354	16.031	16.0875	16.272	16.3519			4	4	0.0504919	0.989115	-0.0205703	-0.143965
NDUFS8	18.4	18.5287	18.7404	18.6508	18.7767	18.6179	18.6804	18.7009			4	4	0.680577	0.807423	-0.114012	-1.40844
TNFRSF10A	14.6668	16.2134	16.1978	16.4102	15.8073	16.0641	16.304	16.1493			4	4	0.197581	0.967335	-0.209141	-0.500601
PSMD11	19.6324	19.5765	19.4197	19.5615	19.5391	19.5219	19.4791	19.4964			4	4	0.349455	0.932615	0.0383596	0.813047
PSMD12	19.9839	20.1836	20.1129	20.2067	20.2769	20.3391	20.2052	20.2254			4	4	1.27157	0.579588	-0.139866	-2.39705
PSMD9	19.0096	18.9329	18.6013	18.8608	18.8117	18.987	18.8502	18.9399			4	4	0.185248	0.968623	-0.046072	-0.473255
BMPR1B	13.345	13.3621	12.3212	12.4145	12.7864	13.0865	12.6164	12.7403			4	3	0.0625981	0.99136	0.0533028	0.176419
BMPR1A	13.345	13.3621	12.3212	12.4145	12.7864	13.0865	12.6164	12.7403			4	3	0.0625981	0.99136	0.0533028	0.176419
ATOX1	16.5665	17.1129	17.0166	16.999	16.6991	16.7263	16.9036	16.8574			4	4	0.431012	0.922013	0.127155	0.967473
MEN1	16.9812	16.4534	16.5617	16.7682	17.0827	16.5113	16.5844	16.5174			4	4	0.0328503	0.993914	0.0171733	0.0953399
CBX4	16.7308	16.6569	17.0776	16.5356	16.8124	16.6249	16.7949	16.8529			4	4	0.0587349	0.990161	-0.0210524	-0.166139
PGRMC1	20.7725	20.6673	20.6675	20.5464	20.4086	20.4602	20.5621	20.6278			4	4	1.15368	0.627199	0.148735	2.19901
SUPT5H	19.287	19.3555	19.2772	19.3802	19.2674	19.2682	19.1822	19.3861			4	4	0.449496	0.915366	0.0490184	1.00155
TAF4	15.4084	15.2153	15.204	15.3775	15.1779	14.8833	15.2979	15.0375			4	4	0.998161	0.665141	0.202131	1.94013
DFFA	17.0925	17.1455	17.2653	17.1649	17.263	17.2019	17.267	17.154			4	4	0.563981	0.868831	-0.0544372	-1.20684
RFXAP	11.2503	11.1442	11.3307	11.4547	11.0791	11.4713	11.7249	11.7936			4	3	0.602404	0.852921	-0.22222	-1.27395
CLIC1	23.1601	23.0551	23.301	23.1386	23.3811	23.261	23.2951	23.2495			4	4	1.18414	0.614364	-0.132971	-2.24999
EIF3F	20.2401	20.3872	20.3543	20.5465	20.3393	20.2629	20.275	20.2178			4	4	0.788791	0.762839	0.108272	1.59136
WWP2	14.1535	15.7558	15.6506	15.7433	16.3037	15.8517	15.7742	15.0247			4	4	0.380771	0.930492	-0.412814	-0.873196
PDHX	18.3866	18.0118	17.9392	17.9797	18.1311	17.9989	18.0936	18.1776			4	4	0.0678185	0.991938	-0.020967	-0.1902
QSOX1	15.7434	17.3048	17.3304	17.396	17.42	16.9695	17.2163	17.0775			4	4	0.220813	0.96704	-0.227171	-0.551155
DCTN6	17.9898	17.3517	17.1251	17.5916	17.7942	17.8727	17.8913	17.5768			4	4	0.650267	0.82767	-0.269166	-1.35658
SLC33A1	16.0786	16.6005	16.2692	16.4444	16.4741	16.6812	16.4617	16.4647			4	4	0.665233	0.814734	-0.172269	-1.38223
WASL	17.3482	17.0929	17.1608	17.1866	16.9162	17.279	17.015	17.0782			4	4	0.636979	0.836948	0.125059	1.33373
IPO5	20.9797	21.2505	21.2861	21.3457	21.2859	21.2332	21.1833	21.0727			4	4	0.0845184	0.989947	0.0216932	0.233474
POLRMT	15.8895	15.9244	15.5276	15.9187	16.0103	15.5916	15.4393	15.364			4	4	0.578708	0.860862	0.213734	1.23265
SAP18	18.4524	17.6055	17.6068	17.6666	19.5229	19.7002	18.6743	17.9618			4	4	1.33331	0.5506	-1.13199	-2.50174
DNM1L	19.3036	19.3659	19.4997	19.317	19.5561	19.4837	19.4187	19.3441			4	4	0.584711	0.860868	-0.0791221	-1.24314
RTCA	17.6201	18.2451	18.6447	18.3616	18.4229	18.3169	18.3385	18.1625			4	4	0.159162	0.978689	-0.0923223	-0.414142
PIK3C2A	17.9072	17.84	17.8116	17.8343	17.9657	17.9774	17.7852	17.7252			4	4	0.0815194	0.990701	-0.015111	-0.225791
IFRD1	14.7256	15.5177	16.572	15.7601	15.3019	15.7108	16.5579	16.3818			4	4	0.301064	0.944563	-0.344258	-0.717625
GOLIM4	14.7403	15.15	14.6227	14.9529	14.7756	14.7517	15.0425	15.2549			4	3	0.214411	0.96767	-0.0896862	-0.537343
MANBA	16.9342	16.8468	16.7555	16.8422	16.8335	16.9314	16.9237	17.0771			4	4	0.767589	0.774479	-0.0967956	-1.55575
AGRN	18.678	18.2606	18.3291	18.2791	18.517	18.1315	18.1354	18.1262			4	4	0.535154	0.878522	0.159129	1.15597
EXOC5	17.5458	17.5074	17.5465	17.567	17.5014	17.4388	17.4657	17.6382			4	4	0.275648	0.949733	0.0306425	0.666127
NDUFA4	19.9505	19.309	19.0997	19.3013	19.6565	19.9338	19.9885	20.2123			4	4	1.30308	0.564342	-0.532639	-2.45039
PSMD14	20.1672	20.1968	20.0098	19.9921	19.9949	20.0875	19.9759	20.078			4	4	0.425618	0.923986	0.0573664	0.957472
ZNF593	16.6375	16.7178	16.1526	16.8559	16.7037	16.6967	16.3157	16.5532			4	4	0.0464091	0.990525	0.0236239	0.132856
BIN1	16.5224	16.9431	17.2254	17.009	17.064	16.9734	17.0199	16.8503			4	4	0.126364	0.986076	-0.0519619	-0.337069
KPNA3	19.5316	19.4164	19.4989	19.4169	19.8137	19.4553	19.3541	19.3809			4	4	0.118178	0.987079	-0.0350132	-0.3173
USP9Y	17.9124	17.9155	17.8352	17.9121	17.9846	17.7383	17.863	17.6534			4	4	0.514545	0.885668	0.0839834	1.11929
LAD1	19.2427	19.383	19.3625	19.4816	19.0066	19.1704	19.3341	19.3043			4	4	0.931869	0.700914	0.16362	1.83002
PES1	19.3573	19.2805	19.1825	19.27	19.1494	19.2719	19.2233	19.3112			4	4	0.279013	0.949067	0.0336189	0.673006
SDCBP	19.3286	19.0642	18.8772	19.1078	19.2779	19.0391	18.9533	18.9154			4	4	0.148515	0.980656	0.0480447	0.389479
PITPNM1	13.2067	13.5736	13.7799	13.7837	13.8025	13.8445	13.2797	13.8073			4	3	0.201706	0.966305	-0.0974958	-0.509667
MPHOSPH10	16.8397	16.9841	17.0706	17.0754	17.1278	16.9647	17.0957	17.0115			4	4	0.375037	0.930011	-0.0574632	-0.862268
NOP56	20.2217	20.1741	20.2123	20.2262	20.1352	20.221	20.2153	20.2577			4	4	0.0153187	0.998834	0.00128555	0.0452948
DDX3X	21.5214	21.3301	21.2037	21.3662	21.227	21.3546	21.219	21.3171			4	4	0.467062	0.905151	0.0759611	1.03367
RNASET2	18.6399	18.3758	18.5938	18.4197	18.323	18.1981	18.4979	18.3752			4	4	0.896869	0.710928	0.158757	1.77182
PODXL	18.946	18.9813	19.3546	18.8525	19.0135	19.2965	19.2002	19.5886			4	4	0.721916	0.787489	-0.241116	-1.47868
PIR	16.5952	16.5646	16.7241	16.4785	16.5689	16.9587	16.8585	16.9514			4	4	1.23227	0.595593	-0.243798	-2.33079
KPNA4	17.6573	17.5355	17.7162	17.4965	17.8548	17.6624	17.5371	17.7599			4	4	0.559801	0.865698	-0.102199	-1.1995
E2F3	16.2329	16.8859	17.2246	16.6098	17.3267	17.166	15.9378	16.1892			4	4	0.0736674	0.991963	0.0833437	0.205494
PPP6C	18.5084	18.325	18.2883	18.3874	18.3112	18.2816	18.2992	18.4412			4	4	0.305863	0.943554	0.0439835	0.727237
CES2	16.4708	16.0838	16.5208	16.1071	16.3136	16.3445	16.4856	16.242			4	4	0.153316	0.979054	-0.0508285	-0.400641
PIK3C2B	16.57	16.3197	16.1969	16.2226	16.2812	16.3142	16.1604	16.1029			4	4	0.527281	0.880427	0.112614	1.14199
MAN2B1	17.6475	17.6754	17.6323	17.5441	17.7429	17.9146	17.6891	17.4513			4	4	0.31627	0.942808	-0.0746527	-0.747962
UBE2C	19.2618	18.9578	18.313	19.1321	19.2092	18.9815	18.2917	18.4385			4	4	0.250281	0.960743	0.185923	0.613645
PDXK	19.0933	19.2404	19.2075	19.1019	19.5321	19.5375	19.4344	19.5103			4	4	3.62251	0.245333	-0.342769	-7.77372
SCD	16.7578	18.5597	18.7057	18.4455	17.4563	18.3955	18.6559	18.6375			4	4	0.117239	0.986947	-0.16912	-0.315018
PPAP2A	14.8105	15.9824	16.6176	15.9616	17.2371	17.268	16.4376	16.6155			4	4	1.28555	0.572166	-1.04653	-2.42069
ARID1A	18.3871	18.4795	18.5115	18.4852	18.4465	18.4657	18.3647	18.5307			4	4	0.118898	0.987421	0.013936	0.319049
SOCS2	15.9961	15.6549	15.7	15.7999	15.8842	15.9335	15.5541	15.766			4	4	0.00968197	0.997657	0.00326824	0.0288066
SDHD	17.5703	16.5144	16.1847	16.3005	17.1665	17.4534	16.9998	16.9258			4	4	0.712429	0.792827	-0.493864	-1.46261
TMEM194A	15.741	15.9224	15.6005	15.559	15.8935	15.8503	16.0511	16.1899			3	4	1.37424	0.53687	-0.290491	-2.57161
CUX2	15.551	16.2283	16.2444	16.4914	15.7791	16.2205	16.3054	16.2376			4	4	0.00977544	0.997615	-0.00683141	-0.0290817
TXNDC9	18.901	19.1206	19.1058	19.3003	19.1163	19.1817	19.081	18.9848			4	4	0.0619853	0.991444	0.015974	0.174793
TRAFD1	15.3387	13.6382	13.1512	13.6409	13.2394	13.5639	12.7561	14.1458			4	4	0.405189	0.927997	0.51595	0.919336
COX7A2L	16.1173	16.0297	15.3948	15.809	15.9559	15.723	15.8252	15.6564			4	4	0.10028	0.987307	0.0475345	0.273259
NDUFAB1	18.4487	18.9383	19.097	18.9543	18.821	18.7275	18.668	18.6764			4	4	0.413687	0.926576	0.13639	0.935248
UBFD1	17.7346	17.9322	17.9497	17.8725	17.7555	17.6744	17.6197	18.0985			4	4	0.303164	0.943128	0.0852075	0.721837
CYB561D2	15.0442	15.0202	14.7585	14.9874	14.7757	14.7844	14.9863	15.9907			4	4	0.249433	0.959679	-0.181692	-0.611869
CIT	16.1655	15.5642	15.4284	15.609	15.0526	15.6666	15.3586	15.5725			4	4	0.627206	0.836553	0.279223	1.31689
COPE	18.7423	18.9724	19.1097	19.0105	19.0042	18.8965	18.9865	18.8686			4	4	0.0846197	0.989895	0.0197625	0.233733
RFXANK	13.9399	14.1319	13.9258	13.5969	14.1424	13.4662	14.2992	13.4977			3	4	0.0695039	0.991753	0.0472283	0.194623
CDC42EP2	16.0413	16.196	16.7316	15.6828	17.4219	16.5057	16.9915	15.5611			3	4	0.451048	0.913541	-0.457089	-1.0044
AP3D1	18.8613	18.8581	18.9197	18.8808	18.9445	18.9581	18.9247	18.9167			4	4	1.78609	0.418228	-0.056078	-3.30211
CCS	17.5863	17.3754	17.261	17.2336	17.2572	17.3525	17.288	17.3847			4	4	0.201641	0.966198	0.0434728	0.509523
ABLIM1	16.0638	16.1143	16.2886	16.1127	15.8674	16.179	16.1596	16.5217			4	4	0.0949002	0.98808	-0.0370514	-0.259789
DVL1	14.1955	14.3545	13.5154	14.1263	14.3652	13.7826	14.3032	13.298			3	4	0.134613	0.984112	0.110688	0.356767
DVL2	17.3134	17.2599	17.2276	16.878	16.9597	17.3327	16.6435	17.5133			4	4	0.0964185	0.98755	0.057436	0.263602
CHD1	15.7218	16.5708	16.602	16.6911	16.5653	16.7753	16.7571	16.8359			4	4	0.699981	0.800565	-0.336971	-1.44147
CHD2	16.6584	16.6024	16.7021	16.5277	16.7485	16.6607	16.5504	16.6473			4	4	0.208673	0.967612	-0.0290504	-0.524888
TOR1A	16.9103	17.5991	17.5479	17.5184	17.8367	17.8857	17.5556	17.455			4	4	0.732892	0.782228	-0.289337	-1.49725
TOR1B	17.1705	16.9091	16.8145	16.9925	16.9298	16.7199	16.959	16.7526			4	4	0.648677	0.827473	0.131307	1.35385
ADAM10	18.3062	18.4141	18.5551	18.3964	18.1626	18.3238	18.4688	18.46			4	4	0.304978	0.943216	0.0641255	0.725468
ABCD4	14.1832	14.7536	15.0885	14.8602	14.3945	14.6019	15.1588	14.9832			4	4	0.0884351	0.98989	-0.0632384	-0.243453
EI24	18.1037	18.238	17.7191	18.1725	17.9151	18.0269	18.005	17.8422			4	4	0.392741	0.926298	0.111006	0.895893
ENC1	17.5666	17.5395	17.3345	17.4595	18.0078	18.1058	17.6635	17.7483			4	4	1.8785	0.398769	-0.406294	-3.47467
KMT2D	13.5938	14.1709	14.0633	14.0216	14.9078	14.3086	14.0406	13.4254			4	4	0.25617	0.958272	-0.208203	-0.625932
APAF1	14.3825	14.4606	14.7879	14.6763	14.55	14.7822	14.7854	14.8401			4	4	0.691721	0.802827	-0.162587	-1.42743
RIOK3	16.2937	16.5879	16.9713	16.5205	15.7442	16.6855	16.9092	17.0468			4	4	0.0031281	0.999361	-0.00305367	-0.00937595
MAP2K7	15.5747	15.6219	15.2505	15.6761	15.5362	15.7567	15.5337	15.7296			4	4	0.425304	0.923478	-0.108249	-0.956888
ACOT8	17.3883	17.1877	17.1898	17.0425	17.2419	17.1708	17.1614	17.318			4	4	0.0960809	0.987272	-0.020967	-0.262755
