#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PD_2h.txt#:type=:list
#Associated Gene Name	XPD_2h_Rep1	XPD_2h_Rep2	XPD_2h_Rep3	XPD_2h_Rep4	XDMSO_2h_Rep1_1	XDMSO_2h_Rep2_1	XDMSO_2h_Rep3_1	XDMSO_2h_Rep4_1	C: Student's T-test Significant PD_2h_DMSO_2h	C: Student's T-test significant	N: Valid values XPD_2h	N: Valid values XDMSO_2h	N: -Log Student's T-test p-value PD_2h_DMSO_2h	N: Student's T-test q-value PD_2h_DMSO_2h	N: Student's T-test Difference PD_2h_DMSO_2h	N: Student's T-test Test statistic PD_2h_DMSO_2h
GNG10	18.8078	17.6857	17.1739	17.4179	18.241	17.7614	17.8154	17.3437			4	4	0.015917	0.998622	-0.0190439	-0.047033
TMA7	18.3542	12.712	9.17465	14.2334	14.4617	16.508	16.2799	19.0797			4	4	0.672399	0.815148	-2.96375	-1.39448
ALG9	17.1211	17.6448	17.5461	17.4088	17.3601	17.6168	17.6662	17.4431			4	4	0.281525	0.949485	-0.0913358	-0.678129
ARHGEF18	15.4802	15.5593	15.3787	15.7623	15.3525	15.0095	14.8205	15.4162			4	4	1.28749	0.571843	0.395479	2.42398
TMED7	17.9436	17.9273	17.9026	17.8702	17.841	17.8508	17.8908	18.0839			4	4	0.0334287	0.993614	-0.00571966	-0.0969605
ZFP91	15.0225	15.4219	15.4347	15.4801	15.1784	15.1505	15.2407	15.2885			4	4	0.520282	0.883128	0.125291	1.12953
C15orf38	16.6363	16.4935	16.6604	16.675	17.2034	16.7372	16.93	16.8891			4	4	1.65391	0.454164	-0.323614	-3.06135
RPL17	21.9593	22.0573	22.1795	22.1038	21.9233	21.8763	22.0465	21.9743			4	4	1.05893	0.649657	0.119882	2.0411
PPAN	17.5501	17.6362	17.5893	17.6951	17.698	17.5813	17.5338	17.5586			4	4	0.204903	0.966415	0.0247545	0.516664
SRCAP	15.3422	16.231	16.1702	16.1784	16.0652	15.7898	16.1263	16.0879			4	4	0.0573987	0.989641	-0.0368407	-0.162567
ZNF320	14.5772	14.3891	14.4804	14.6492	14.2869	14.1439	13.9482	15.3632			4	3	0.10082	0.987676	0.0884097	0.274605
ZNF845	14.5772	14.3891	14.4804	14.6492	14.2869	14.1439	13.9482	15.3632			4	3	0.10082	0.987676	0.0884097	0.274605
AHR	16.8587	15.9833	16.1675	15.9119	16.456	17.2222	16.7487	16.3333			4	4	0.775601	0.773063	-0.459724	-1.56922
PARL	15.7397	16.8828	17.3744	16.8355	17.635	17.7319	17.3098	16.3941			4	4	0.568836	0.867172	-0.559573	-1.21536
GDPGP1	14.6516	14.6441	14.5678	14.6777	15.6403	15.4466	14.9082	13.1117			4	4	0.0891171	0.989682	-0.141391	-0.245184
RBM47	17.4064	17.533	17.5611	17.4699	17.3558	17.441	17.5636	17.7088			4	4	0.1084	0.987902	-0.0246968	-0.293384
TTC26	15.2484	14.8709	15.7656	14.7801	16.8056	16.1674	14.6074	14.309			3	4	0.186416	0.968328	-0.30608	-0.475862
UBA6	19.5006	19.4938	19.5228	19.5084	19.4904	19.4584	19.4838	19.444			4	4	1.60632	0.469145	0.0372338	2.97626
ESYT2	18.2354	18.2859	18.4164	18.298	18.2631	18.2886	18.3469	18.4005			4	4	0.120453	0.986924	-0.0158525	-0.322817
MED19	15.2477	16.1694	16.5986	16.2339	16.2616	16.2413	16.4468	16.3019			4	4	0.373831	0.929084	-0.250466	-0.859965
KIAA1598	18.7033	18.8755	18.9163	18.8558	18.8333	18.8778	18.8833	18.9244			4	4	0.361634	0.931432	-0.0419464	-0.836576
ARHGAP10	16.2556	15.3892	14.956	15.1565	15.5001	15.7518	14.977	14.7251			4	4	0.216658	0.968366	0.200825	0.5422
ANO9	14.1644	15.3211	15.3513	14.6646	15.3024	15.1248	15.2903	14.8263			4	2	0.369698	0.929356	-0.260603	-0.85206
FAM168B	15.9665	15.0847	14.6925	15.0586	15.5255	14.3592	14.9902	14.6952			4	4	0.363645	0.931803	0.308032	0.840446
ILVBL	18.3103	18.2305	18.119	18.1388	18.9187	18.5212	18.2354	18.0533			4	4	0.560173	0.866594	-0.232486	-1.20015
PLEKHG3	17.985	18.3473	18.1316	18.3452	17.9779	18.2464	18.1245	18.1947			4	4	0.256992	0.958587	0.066421	0.627641
SH3PXD2B	17.8923	18.0058	17.7966	17.9549	18.0288	17.9772	17.8685	17.8025			4	4	0.0345761	0.993867	-0.00683594	-0.10017
NBAS	15.5956	15.6068	15.7081	15.7358	15.7126	15.5052	15.7217	15.4149			4	4	0.376807	0.928826	0.072969	0.865645
TARSL2	14.5327	14.6542	14.3695	14.3173	14.4797	14.6592	14.3452	13.7013			4	4	0.329531	0.934228	0.172084	0.774148
VWA8	21.1598	21.2004	21.1796	21.1563	21.1163	21.0565	21.155	21.128			4	4	1.38918	0.537394	0.0601144	2.59721
SBNO1	17.1379	16.9946	17.0068	17.1969	17.1506	16.9471	17.0157	17.0186			4	4	0.333241	0.933821	0.0511022	0.78143
GTPBP10	15.7836	16.215	16.159	16.1955	16.1823	16.04	16.1981	15.9528			4	4	0.014307	0.997978	-0.00499463	-0.0423501
WDR91	16.0108	15.6998	15.8155	15.7665	15.2117	15.7907	15.6485	15.546			4	4	1.00648	0.661843	0.27391	1.95394
