#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PIPD_8h.txt#:type=:list
#Associated Gene Name	XPIPD_8h_Rep1	XPIPD_8h_Rep2	XPIPD_8h_Rep3	XPIPD_8h_Rep4	XDMSO_8h_Rep1_1	XDMSO_8h_Rep2_1	XDMSO_8h_Rep3_1	XDMSO_8h_Rep4_1	C: Student's T-test Significant PIPD_8h_DMSO_8h	C: Student's T-test significant	N: Valid values XPIPD_8h	N: Valid values XDMSO_8h	N: -Log Student's T-test p-value PIPD_8h_DMSO_8h	N: Student's T-test q-value PIPD_8h_DMSO_8h	N: Student's T-test Difference PIPD_8h_DMSO_8h	N: Student's T-test Test statistic PIPD_8h_DMSO_8h
GNG10	18.7964	17.8055	17.7235	18.1983	17.6104	18.2605	17.677	16.888			4	4	0.675553	0.301659	0.521951	1.39986
TMA7	19.0111	17.2262	16.4278	17.0202	16.0556	18.2451	14.2261	16.927			4	4	0.474762	0.424535	1.05787	1.04767
ALG9	17.2633	17.2964	17.4311	16.9475	17.5352	17.3862	17.5654	17.3569			4	4	1.01588	0.16809	-0.226337	-1.96955
ARHGEF18	15.1145	15.0419	14.9544	15.1401	15.1912	15.2218	14.7569	15.2327			4	4	0.115343	0.822684	-0.03794	-0.310401
TMED7	18.0785	17.7827	17.8595	17.8543	17.8669	17.8854	17.8947	17.9376			4	4	0.0123349	0.979268	-0.00240612	-0.036592
ZFP91	14.6911	15.4957	15.6195	15.7942	14.945	14.824	15.3953	15.4368			4	4	0.37535	0.508926	0.249833	0.862865
C15orf38	15.419	16.1716	16.7107	15.7554	16.6813	16.4851	17.1019	16.7428			4	4	1.27745	0.114931	-0.738615	-2.407
RPL17	21.7468	21.7169	21.8097	21.8799	21.9444	21.8576	22.022	22.0331			4	4	1.74865	0.0599914	-0.175933	-3.23323
PPAN	17.5147	17.5362	17.6293	17.5928	17.528	17.5594	17.7048	17.615			4	4	0.300703	0.58528	-0.033534	-0.716903
SRCAP	16.4161	16.4341	16.1568	16.1582	16.0376	16.1079	16.273	15.8438			4	4	0.983733	0.176583	0.225737	1.91617
ZNF320	14.5741	14.5643	14.8282	14.6362	15.2555	15.3187	14.0742	14.7673			4	4	0.287867	0.600098	-0.203219	-0.691014
ZNF845	14.5741	14.5643	14.8282	14.6362	15.2555	15.3187	14.0742	14.7673			4	4	0.287867	0.600098	-0.203219	-0.691014
AHR	15.7898	15.5376	15.8652	15.3842	16.1213	16.7252	16.9697	16.9308	+	PIPD_8h_DMSO_8h	4	4	2.44404	0.0327052	-1.04254	-4.62481
PARL	16.1818	16.218	16.075	16.0276	17.1435	16.6824	17.2697	16.8776	+	PIPD_8h_DMSO_8h	4	4	3.10161	0.0171654	-0.867686	-6.2295
GDPGP1	13.9609	13.9992	13.2192	13.7911	14.7333	14.3402	14.7181	14.5077	+	PIPD_8h_DMSO_8h	4	4	2.19558	0.0388337	-0.832215	-4.09767
RBM47	17.6146	17.7936	17.7048	17.7744	17.5656	17.4938	17.6256	17.6016			4	4	1.63312	0.0698335	0.150208	3.02407
TTC26	14.1598	13.9676	15.3658	14.1127	14.3493	13.9136	15.6594	15.1531			4	4	0.303168	0.582525	-0.367381	-0.721844
UBA6	19.553	19.437	19.5367	19.4408	19.4447	19.4475	19.4763	19.5043			4	4	0.292426	0.595	0.0236788	0.700239
ESYT2	18.2851	18.2663	18.2175	18.3605	18.2812	18.3586	18.3777	18.361			4	4	0.852088	0.220908	-0.0622764	-1.69723
MED19	15.0836	15.6683	15.4992	15.5374	16.3158	15.7058	16.5164	16.2507			4	4	1.89017	0.0517755	-0.750072	-3.49673
KIAA1598	18.8374	18.8845	18.9374	18.938	18.8834	18.9417	18.8856	18.9331			4	4	0.15562	0.762704	-0.0116234	-0.405974
ARHGAP10	15.3353	15.5269	15.1532	14.9966	14.8652	14.9553	15.3525	15.2888			4	4	0.356624	0.52704	0.137548	0.82692
FAM168B	16.1641	15.0838	14.658	15.4671	14.8252	15.7667	13.972	14.4339			4	4	0.556347	0.370256	0.593773	1.19342
ILVBL	17.8583	17.9472	17.8717	17.7295	18.3434	18.0279	18.2119	17.751			4	4	0.856038	0.219819	-0.231872	-1.70382
PLEKHG3	17.892	18.1201	18.0198	18.1021	18.0712	18.0876	18.0991	18.174			4	4	0.624932	0.327938	-0.0744743	-1.31296
SH3PXD2B	18.2475	18.1819	18.108	18.0352	18.0921	18.13	17.9528	17.9391			4	4	0.865597	0.216213	0.11465	1.71975
NBAS	15.4001	15.2288	15.5969	15.2654	15.7084	15.7655	15.7114	15.3508			4	4	1.07248	0.153733	-0.261214	-2.06363
TARSL2	14.3946	14.744	14.9654	14.0362	14.5998	14.5723	13.9088	14.2118			4	4	0.348137	0.535268	0.21188	0.810489
VWA8	21.2865	21.2149	21.3135	21.2121	21.1747	21.0759	21.1854	21.1349			4	4	1.73146	0.0615414	0.114015	3.20177
SBNO1	16.6698	16.9344	16.8486	16.8249	17.1482	16.8925	16.9232	17.0554			4	4	1.20623	0.126315	-0.185408	-2.28703
GTPBP10	16.1766	16.1548	16.0382	16.1955	15.9455	16.1164	16.0074	16.1233			4	4	0.833474	0.227383	0.0931294	1.66616
WDR91	15.6403	16.1289	15.7819	15.8513	15.5858	15.7488	15.683	15.6034			4	4	0.905764	0.201272	0.195314	1.78662
POTEF	15.0114	16.2317	16.0281	15.4776	15.3034	15.8156	16.7493	17.3865			4	4	0.535329	0.383624	-0.626506	-1.15628
TMEM189	16.2968	16.6909	16.5339	16.533	16.8945	17.0256	16.704	16.9892	+	PIPD_8h_DMSO_8h	4	4	1.93951	0.0493552	-0.38971	-3.59068
CNOT1	18.7528	18.7442	18.8453	18.615	18.9425	18.7677	18.8539	18.6795			4	4	0.432514	0.459769	-0.0715213	-0.970255
ARHGEF35	14.938	15.2738	15.3274	15.3256	15.4142	15.4522	15.3867	15.5345			4	4	1.23318	0.121953	-0.230714	-2.33233
MAP1LC3B2	16.6034	16.1353	16.1368	16.1136	17.3644	16.9619	16.7811	16.754	+	PIPD_8h_DMSO_8h	4	4	2.09666	0.041457	-0.718087	-3.89776
MAP1LC3B	16.6034	16.1353	16.1368	16.1136	17.3644	16.9619	16.7811	16.754	+	PIPD_8h_DMSO_8h	4	4	2.09666	0.041457	-0.718087	-3.89776
FAM83G	15.4704	15.8235	15.81	16.0262	16.0403	15.7224	16.0298	15.6683			4	4	0.217892	0.683282	-0.0826566	-0.544864
PGP	18.2615	18.1239	18.1243	18.2295	18.4028	18.4291	18.3469	18.4606	+	PIPD_8h_DMSO_8h	4	4	2.70977	0.0280332	-0.225077	-5.23334
C5orf51	15.7282	16.6786	16.142	16.4341	16.1211	15.9874	16.5356	16.2922			4	4	0.016692	0.971813	0.0116398	0.0492815
TUBAL3	17.8612	17.5653	17.8913	17.993	18.6918	18.2435	18.6403	17.0238			4	4	0.346322	0.536425	-0.322151	-0.806964
SMCHD1	17.6193	17.5916	17.7044	17.565	17.4754	17.6558	17.6742	17.5978			4	4	0.134236	0.795129	0.0192451	0.355873
GATSL2	15.3515	15.9206	15.626	15.6316	14.4314	14.9695	15.1618	15.0013	+	PIPD_8h_DMSO_8h	4	4	2.03057	0.0448175	0.741442	3.76711
UNC119B	16.609	16.7686	16.9123	16.624	16.8438	17.1191	16.7372	17.3723			4	4	0.922951	0.196123	-0.289639	-1.8152
METTL15	15.418	14.9356	15.0698	15.488	15.3203	15.2942	15.0986	15.1195			4	4	0.0473466	0.925059	0.0197034	0.135415
CCDC85C	15.9614	16.49	16.3055	16.6423	15.937	15.9519	15.8595	16.1549			4	4	1.23957	0.121196	0.373962	2.34308
RGPD3	18.9535	18.9809	19.017	18.9775	18.8038	18.958	18.9382	18.962			4	4	0.839601	0.225365	0.066721	1.67639
RP11-683L23.1	20.22	20.328	19.7968	20.1553	19.3849	20.7614	19.9905	20.0501			4	4	0.0939942	0.852754	0.0783448	0.25751
ARHGAP32	14.4442	13.9126	14.5627	14.108	14.2692	14.1292	13.8068	13.5752			4	3	0.697945	0.28974	0.311787	1.43801
POM121C	16.8656	16.8523	16.857	16.8476	16.7378	16.7183	16.779	16.8524			4	4	1.5054	0.0835213	0.0837393	2.79834
