#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PIPD_8h.txt#:type=:list
#Associated Gene Name	XPIPD_8h_Rep1	XPIPD_8h_Rep2	XPIPD_8h_Rep3	XPIPD_8h_Rep4	XDMSO_8h_Rep1_1	XDMSO_8h_Rep2_1	XDMSO_8h_Rep3_1	XDMSO_8h_Rep4_1	C: Student's T-test Significant PIPD_8h_DMSO_8h	C: Student's T-test significant	N: Valid values XPIPD_8h	N: Valid values XDMSO_8h	N: -Log Student's T-test p-value PIPD_8h_DMSO_8h	N: Student's T-test q-value PIPD_8h_DMSO_8h	N: Student's T-test Difference PIPD_8h_DMSO_8h	N: Student's T-test Test statistic PIPD_8h_DMSO_8h
C9orf169	17.3329	15.6271	16.7146	15.8767	15.3952	16.3396	16.6264	16.5431			4	4	0.12533	0.808989	0.161731	0.334585
SNRPG	20.3986	20.1395	20.2758	20.2941	20.8703	20.594	20.5254	20.3989			4	4	1.52614	0.0806383	-0.32011	-2.83465
MIF4GD	12.3321	12.7321	13.6845	12.1343	14.5493	12.6879	14.7175	13.4921			3	4	0.999042	0.172104	-1.14091	-1.94159
GPR89A	16.8572	16.3005	16.122	16.0564	16.2602	16.7698	15.7803	15.8464			4	4	0.235356	0.661468	0.169842	0.58221
GPR89B	16.8572	16.3005	16.122	16.0564	16.2602	16.7698	15.7803	15.8464			4	4	0.235356	0.661468	0.169842	0.58221
TMEM238	15.9344	15.9475	16.6416	16.224	16.3466	16.1284	16.3909	16.2971			4	4	0.240311	0.656874	-0.103897	-0.592694
FAM195B	16.1423	16.1386	16.4494	16.0059	16.3792	16.4819	16.3948	16.2828			4	4	1.00918	0.169404	-0.200628	-1.95843
GOSR2	15.9174	16.3999	16.4072	16.3227	16.8034	16.3385	16.8433	16.8481			4	4	1.4079	0.0940454	-0.44653	-2.62936
KLC1	18.438	18.4406	18.4641	18.4966	18.2705	18.4639	18.449	18.4209			4	4	0.597305	0.345726	0.0587759	1.26508
RAPGEF6	15.3523	15.8583	16.05	15.2906	16.3114	14.3212	16.3641	15.8915			3	4	0.0578793	0.908294	-0.0842347	-0.163853
RAPGEF2	15.3523	15.8583	16.05	15.2906	16.3114	14.3212	16.3641	15.8915			3	4	0.0578793	0.908294	-0.0842347	-0.163853
MTG1	17.1205	17.3508	17.2766	17.1152	17.0945	17.0165	17.0471	16.9964			4	4	1.53042	0.0803419	0.177135	2.84215
VKORC1	17.4342	16.5648	16.7574	17.1288	16.208	16.6644	16.938	16.7349			4	4	0.648423	0.315373	0.334966	1.35341
BCKDHA	17.1811	17.2554	17.2671	17.0702	17.0758	17.1416	17.2864	16.9762			4	4	0.40911	0.479045	0.0734439	0.926687
SPECC1L	16.0152	16.0306	16.0991	16.0679	15.9301	16.4331	15.9777	16.2916			4	4	0.369374	0.513936	-0.104934	-0.851439
PI4K2B	15.6577	15.5044	15.344	15.3993	15.6359	15.484	15.7377	15.6514			4	4	0.875905	0.212694	-0.150862	-1.73693
TRAPPC2L	17.2254	17.3946	17.0903	17.0644	17.4895	17.0299	16.9189	17.4251			4	4	0.048212	0.924319	-0.0221519	-0.137772
PAGR1	15.0651	15.1401	15.1887	15.5456	16.4691	15.5875	15.67	16.3545			3	4	1.68754	0.0647348	-0.785459	-3.12198
STX16	16.2557	16.093	16.0963	15.8883	16.5426	16.2835	16.3718	15.889			4	4	0.557526	0.36938	-0.188405	-1.19549
SYS1	14.819	15.5121	15.4305	13.7728	15.4576	14.5123	15.865	13.5917			4	3	0.0140515	0.97676	0.0269332	0.0416055
RPL36A	19.8517	19.8667	19.8818	20.0641	18.7708	19.2826	19.8698	19.7808			4	4	0.971153	0.179685	0.490073	1.89527
RPL26	22.4479	22.4933	22.5092	22.6671	22.0354	22.4135	22.1308	22.6234			4	4	0.796833	0.24143	0.228575	1.60485
VAMP2	17.1478	17.365	17.7573	17.8211	17.3701	17.3141	17.6086	17.4649			4	4	0.189191	0.720812	0.0834122	0.482039
DNASE2	18.2221	18.0028	18.2699	18.1581	17.4642	18.1517	17.9009	17.7286			4	4	1.1881	0.12974	0.351902	2.25662
AGPS	19.4821	19.7084	19.7473	19.6863	19.7671	19.6467	19.8047	19.7049			4	4	0.496971	0.408428	-0.0748057	-1.08779
KIF2A	18.9856	18.9481	19.0543	18.9785	19.0208	18.9873	18.8772	18.8544			4	4	0.5709	0.361351	0.0566916	1.21898
DDX39A	22.7959	22.8091	22.7821	22.8665	22.6643	22.6975	22.7083	22.7019	+	PIPD_8h_DMSO_8h	4	4	2.91486	0.0205444	0.120387	5.7389
PDLIM1	21.5583	21.6725	21.6177	21.7137	21.5781	21.7281	21.713	21.6492			4	4	0.221273	0.678999	-0.0265393	-0.552144
ACOT7	21.0515	20.9993	20.8493	20.8653	21.1017	20.9691	20.9464	20.8801			4	4	0.190202	0.720125	-0.0329843	-0.484284
MYO1C	20.1554	19.9558	19.9995	19.9008	20.0047	20.0242	19.991	19.9319			4	4	0.0934527	0.853918	0.0149088	0.256146
SNAP23	18.0251	18.0801	18.2867	18.2127	17.6883	17.9049	17.9518	18.0726			4	4	1.31102	0.109722	0.246736	2.46386
HAX1	16.2698	16.6998	16.7116	16.1047	16.6446	16.6039	16.4945	17.0209			4	4	0.604333	0.340818	-0.244502	-1.2773
AIP	17.5573	17.7882	17.7641	17.6628	18.0037	17.6215	17.8185	17.7928			4	4	0.577299	0.35704	-0.116076	-1.23019
GTPBP1	17.8742	17.6544	17.7454	17.5071	17.8785	17.9535	18.0037	17.8574			4	4	1.45103	0.0885785	-0.228002	-2.70378
STXBP3	19.1436	19.0154	19.0522	18.9703	18.7791	18.8745	18.7882	18.6198	+	PIPD_8h_DMSO_8h	4	4	2.31039	0.0372057	0.279998	4.3366
AP4M1	15.2038	15.4074	14.9926	14.9099	14.5554	15.6049	14.9278	15.2867			4	4	0.048142	0.924244	0.0347502	0.137582
C11orf58	16.9519	17.3053	17.4113	17.3767	16.8871	16.7895	17.5346	17.3645			4	4	0.225148	0.674227	0.117381	0.560458
RAB27B	15.328	15.8215	16.1288	15.7943	16.5457	15.99	16.5799	16.3831			4	4	1.52996	0.0802639	-0.606515	-2.84135
AP3B1	20.2626	20.1444	20.133	20.0061	20.1151	20.1502	20.1968	20.0298			4	4	0.076985	0.87631	0.0135293	0.214102
SULT2B1	17.0717	17.1708	17.2031	17.4016	16.913	17.0591	17.2435	17.2078			4	4	0.466799	0.43117	0.105925	1.03319
LGALS8	16.2111	16.3872	16.276	16.298	15.9018	16.4563	16.155	16.4253			4	4	0.16765	0.747915	0.0585048	0.433576
NDUFS8	18.2596	18.2627	18.4916	18.4011	18.6622	18.3881	18.7015	18.4355			4	4	1.02704	0.164899	-0.193093	-1.98809
TNFRSF10A	15.1574	15.6687	15.6192	15.6983	16.139	15.6471	16.2491	15.9991			4	4	1.38458	0.097866	-0.472662	-2.58933
PSMD11	19.5782	19.5744	19.4334	19.704	19.5143	19.5761	19.4752	19.5812			4	4	0.23775	0.659489	0.0357671	0.587281
PSMD12	20.0636	20.1834	20.2087	20.1387	20.2307	20.2649	20.1968	20.2232			4	4	1.21937	0.12456	-0.0803032	-2.3091
PSMD9	19.1361	19.1353	18.9631	19.1075	18.725	19.0023	18.8118	19.0455			4	4	1.14247	0.137784	0.189338	2.18029
BMPR1B	14.3578	14.2398	14.0555	13.4313	12.4773	12.7381	12.6295	12.9085	+	PIPD_8h_DMSO_8h	4	3	2.98322	0.0188974	1.33274	5.91498
BMPR1A	14.3578	14.2398	14.0555	13.4313	12.4773	12.7381	12.6295	12.9085	+	PIPD_8h_DMSO_8h	4	3	2.98322	0.0188974	1.33274	5.91498
ATOX1	16.8468	17.0135	16.9669	17.3142	16.5137	16.9421	17.1231	16.9183			4	4	0.443749	0.450455	0.161048	0.990989
MEN1	16.6609	16.8981	17.1064	16.4909	16.6548	16.2303	16.5764	16.6645			4	4	0.747587	0.264107	0.257543	1.52206
CBX4	16.7951	16.8891	16.9467	16.7954	16.5301	16.6612	16.9618	16.7564			4	4	0.626502	0.327485	0.12924	1.31567
PGRMC1	20.8552	20.7956	20.8277	20.5771	20.521	20.5957	20.6847	20.6087			4	4	1.18395	0.129933	0.161407	2.24967
SUPT5H	19.2818	19.2979	19.3473	19.3924	19.2596	19.3075	19.2745	19.4217			4	4	0.117693	0.818989	0.0140467	0.316122
TAF4	15.2193	15.3062	15.2855	15.4136	15.4015	15.0929	15.1618	15.4126			4	4	0.164355	0.7517	0.0389338	0.426055
DFFA	17.0653	17.2028	17.0664	17.3436	17.1264	16.9993	17.1878	17.2318			4	4	0.151895	0.767992	0.0331545	0.397344
CLIC1	23.3132	23.0423	23.0812	22.9562	23.2741	23.219	23.2846	23.1544			4	4	0.821198	0.230938	-0.134786	-1.64564
EIF3F	20.2651	20.1474	20.2306	20.2907	20.3087	20.348	20.2768	20.358			4	4	1.30674	0.110032	-0.0893912	-2.45659
WWP2	15.655	15.6305	15.6754	15.6713	15.8912	15.5583	15.3187	15.5374			2	4	0.286598	0.601025	0.081614	0.688442
PDHX	18.6419	18.1872	18.1947	18.1384	18.1455	18.1432	18.1036	18.0704			4	4	0.715402	0.279546	0.17486	1.46765
QSOX1	16.2578	16.6569	16.0446	16.7587	17.2816	16.9957	17.3708	17.2156	+	PIPD_8h_DMSO_8h	4	4	2.26029	0.0364255	-0.786408	-4.23139
DCTN6	17.6358	17.6235	17.7069	17.7016	17.5955	17.8169	17.5856	17.8389			4	4	0.237609	0.659651	-0.0422893	-0.586983
SLC33A1	17.0324	16.5953	16.4248	16.361	16.5701	16.5825	16.1778	16.2938			4	4	0.494905	0.4101	0.197308	1.08407
WASL	17.2373	17.2317	17.1494	17.4849	17.0624	16.8995	17.0662	17.0577			4	4	1.65261	0.0679739	0.254401	3.05901
IPO5	20.6158	20.8443	20.7947	20.7215	21.2835	20.9639	21.1336	21.0019	+	PIPD_8h_DMSO_8h	4	4	2.15054	0.0401765	-0.351635	-4.00599
POLRMT	14.9834	15.2504	15.0685	15.466	15.8362	15.4181	15.2533	15.4755			4	4	0.952562	0.185386	-0.303686	-1.8644
SAP18	17.8407	17.5897	17.6464	17.1098	17.8612	17.4206	18.3016	17.9777			4	4	0.696585	0.291006	-0.343635	-1.4357
DNM1L	19.2763	19.3331	19.3419	19.1513	19.3645	19.3168	19.4693	19.3133			4	4	0.784255	0.24703	-0.0903325	-1.58375
RTCA	17.5252	18.0459	18.1423	17.8418	18.2738	18.0691	18.4347	18.0806			4	4	1.04158	0.160818	-0.325755	-2.01225
PIK3C2A	17.8519	17.9062	17.8771	17.8157	18.0471	17.7887	17.8415	17.6164			4	4	0.167468	0.748146	0.0393105	0.43316
IFRD1	15.0573	14.8876	15.6475	15.4585	14.8091	15.9736	16.6718	16.4193			4	4	0.778635	0.249079	-0.705725	-1.57431
GOLIM4	15.4636	15.2944	15.2204	15.0332	14.6717	15.2399	14.7939	15.593			4	4	0.330623	0.552754	0.178246	0.776293
MANBA	16.8545	16.9442	16.8402	16.736	16.9276	17.0598	16.8693	16.8261			4	4	0.537726	0.382362	-0.0770006	-1.16053
AGRN	17.6336	17.7788	17.8682	18.053	18.385	18.1555	18.3176	18.33	+	PIPD_8h_DMSO_8h	4	4	2.43505	0.0324914	-0.463624	-4.60506
EXOC5	17.909	17.7556	17.7412	17.7003	17.5999	17.6372	17.5448	17.5495	+	PIPD_8h_DMSO_8h	4	4	2.05767	0.0438764	0.193666	3.82041
NDUFA4	20.138	19.8347	19.7179	19.8318	19.907	20.4177	19.4961	19.7468			4	4	0.017913	0.969374	-0.0113239	-0.0528164
PSMD14	19.9936	20.1638	20.0474	20.2231	20.0941	20.0576	20.0177	20.0325			4	4	0.46214	0.435034	0.056489	1.0247
ZNF593	16.0424	16.1792	15.9979	16.3552	16.5441	16.6683	16.1028	16.4681			4	4	1.0786	0.152202	-0.302186	-2.07382
BIN1	16.5067	16.6232	16.897	16.7542	17.1092	16.8869	17.2737	17.0318			4	4	1.76509	0.0588615	-0.380115	-3.26339
KPNA3	18.9849	19.1804	19.165	19.3531	19.5648	19.1832	19.3514	19.326			4	4	0.855618	0.220053	-0.185499	-1.70312
USP9Y	17.9877	18.0594	18.0071	18.0325	17.856	17.8174	17.8173	17.7208	+	PIPD_8h_DMSO_8h	4	4	3.26283	0.0165545	0.21884	6.67834
LAD1	19.4046	19.4	19.4195	19.4289	19.228	19.2373	19.2734	19.3502	+	PIPD_8h_DMSO_8h	4	4	2.58245	0.0297561	0.141017	4.9356
PES1	19.0676	19.1665	19.1368	19.3376	19.0855	19.1397	19.0979	19.2362			4	4	0.224088	0.675703	0.0372624	0.558185
SDCBP	19.5287	19.2096	19.1522	19.1358	19.3728	19.1176	18.8286	19.1158			4	4	0.461791	0.435191	0.147846	1.02406
PITPNM1	14.3719	14.1548	13.6295	14.4183	13.8725	14.5032	13.4002	14.3635			4	4	0.132508	0.797496	0.108822	0.35176
MPHOSPH10	16.7048	17.0281	16.9748	16.9315	16.8928	16.7872	17.2757	16.9609			4	4	0.218617	0.682797	-0.0693512	-0.546427
NOP56	20.2149	20.2107	20.2241	20.2174	20.1003	20.1264	20.2679	20.2147			4	4	0.45554	0.439941	0.0394597	1.01263
DDX3X	21.3413	21.2506	21.2301	21.2709	21.3609	21.3517	21.2579	21.4221			4	4	0.913511	0.198507	-0.0749283	-1.7995
RNASET2	18.4863	18.5218	18.4998	18.4195	18.2926	18.435	18.4214	18.4589			4	4	0.940853	0.188956	0.0798664	1.84494
PODXL	19.3133	19.3221	19.6643	19.3521	18.9434	18.941	19.6003	18.9184			4	4	0.837095	0.225985	0.312158	1.67221
PIR	16.5849	16.527	16.7865	16.1657	15.9433	17.2118	16.738	16.4296			4	4	0.0786093	0.874319	-0.0646603	-0.218299
KPNA4	16.9402	17.2567	17.364	17.2091	17.4873	17.1227	17.603	17.4261			4	4	0.78929	0.244692	-0.217276	-1.5922
E2F3	15.0328	15.3564	16.6104	14.1096	16.9712	15.8529	16.9063	16.541			3	4	1.17602	0.131389	-1.29054	-2.23639
PPP6C	18.4294	18.3175	18.301	18.2728	18.3257	18.3319	18.2253	18.1748			4	4	0.601744	0.342686	0.0657358	1.2728
CES2	16.2321	16.1271	15.9551	15.8481	16.291	16.5251	16.3476	16.2346			4	4	1.56472	0.0766482	-0.308951	-2.90252
PIK3C2B	16.8494	16.4186	16.2134	16.4298	16.5949	16.4488	16.1548	16.3076			4	4	0.253024	0.64317	0.101247	0.619375
MAN2B1	17.4741	17.6678	17.534	17.3018	17.5405	17.6172	17.6804	17.4834			4	4	0.439748	0.4535	-0.085886	-0.983618
UBE2C	18.3211	18.2701	18.5542	18.5079	19.0341	18.2916	18.1287	18.6316			4	4	0.20185	0.704291	-0.108167	-0.509981
PDXK	19.2553	19.469	19.4033	19.4988	19.2369	19.4537	19.4489	19.5024			4	4	0.0162959	0.972648	-0.00386095	-0.0481329
SCD	18.2002	18.6455	18.1182	17.6898	18.6998	18.1461	18.3904	18.182			4	4	0.352505	0.531475	-0.191164	-0.818957
PPAP2A	15.5846	15.2306	15.9953	15.4204	16.273	15.9008	17.0525	16.323			4	3	1.53676	0.0796431	-0.82957	-2.85328
ARID1A	18.5524	18.579	18.5166	18.8035	18.3829	18.3097	18.4492	18.4476			4	4	1.59901	0.0729502	0.215551	2.96327
SOCS2	16.1686	16.0282	15.8758	15.7826	15.8347	15.7893	15.3769	15.6368			4	4	1.19958	0.127424	0.304366	2.27586
SDHD	17.6478	17.6261	17.1758	17.2274	17.0627	17.4212	16.4703	17.1044			4	4	0.866479	0.216053	0.404596	1.72122
TMEM194A	16.1568	16.1797	15.8629	16.4718	15.8126	16.2668	15.9314	15.9593			4	4	0.510471	0.399324	0.175266	1.11201
CUX2	15.3473	15.7316	15.8226	15.6072	15.9707	15.882	16.0212	15.6637			4	4	1.02168	0.16647	-0.257222	-1.97919
TXNDC9	18.7582	19.148	18.7867	19.3205	19.2532	19.1586	18.9841	19.2967			4	4	0.503507	0.403913	-0.169776	-1.09953
TRAFD1	13.7915	14.1113	13.0264	14.3916	12.6502	13.7324	13.0105	13.5795			4	4	0.743831	0.265613	0.587044	1.51572
COX7A2L	16.5036	16.1343	16.0999	16.4458	16.2286	16.2412	15.6989	15.727			4	4	0.887705	0.208747	0.321951	1.75657
NDUFAB1	18.5218	18.5128	18.1672	18.5534	18.9433	18.661	18.946	18.645			4	4	1.56557	0.0765046	-0.360059	-2.90402
UBFD1	18.0637	17.7314	17.9694	17.8754	17.6706	18.0446	17.9812	17.8127			4	4	0.109714	0.831193	0.0327072	0.296618
CYB561D2	15.2944	15.528	15.6097	15.7677	14.7099	15.3003	15.0375	15.3558			4	4	1.34936	0.10282	0.44909	2.5291
CIT	16.0589	16.2372	16.1203	16.2419	15.514	15.829	15.503	15.8816	+	PIPD_8h_DMSO_8h	4	4	2.32835	0.0364138	0.482664	4.37469
COPE	18.6387	18.7057	18.766	18.5846	19.0976	18.7716	18.9883	18.9527			4	4	1.92144	0.0506578	-0.278836	-3.55615
RFXANK	13.6372	13.3924	13.4986	13.4012	13.8386	12.0266	13.6637	13.1238			4	4	0.329599	0.553921	0.319175	0.774282
CDC42EP2	17.2399	15.8933	16.7029	16.5715	16.5381	16.744	17.1955	16.1866			4	4	0.0655676	0.894319	-0.064122	-0.184274
AP3D1	18.8	18.7636	18.7773	18.8539	18.9408	18.8228	18.9584	18.9279			4	4	1.68748	0.0646712	-0.113739	-3.12185
CCS	17.4623	17.5082	17.5747	17.384	17.4015	17.5477	17.276	17.4589			4	4	0.384385	0.500595	0.0612726	0.880065
ABLIM1	16.2319	16.3608	16.4949	16.7058	15.7994	16.0062	16.3564	16.3509			4	4	0.962481	0.18189	0.32011	1.88087
DVL1	14.3163	15.2875	14.6261	15.6193	13.822	13.8753	13.6948	14.5306			4	3	1.49916	0.083919	0.98165	2.78745
DVL2	16.6734	17.5189	16.9553	17.579	17.3355	17.5563	17.2273	17.2848			4	4	0.307919	0.577173	-0.16933	-0.731345
CHD1	16.4623	16.4482	16.5871	16.4819	16.6712	16.3494	16.5515	16.6573			4	4	0.329539	0.55391	-0.0624771	-0.774164
CHD2	16.6852	16.7581	16.8052	16.7172	16.6603	16.6105	16.9226	16.6767			4	4	0.11956	0.816888	0.0238795	0.320654
TOR1A	17.0574	17.271	17.1141	16.9768	17.697	17.5161	17.5838	17.4102	+	PIPD_8h_DMSO_8h	4	4	2.68211	0.0288421	-0.44695	-5.16766
TOR1B	16.8667	16.8694	16.9478	16.8489	16.9127	17.1113	16.9901	17.0295			4	4	1.46466	0.087125	-0.127721	-2.7274
ADAM10	18.7335	18.8126	18.8619	18.9713	18.0648	18.4338	18.5569	18.6049			4	4	1.76161	0.0589848	0.429722	3.257
ABCD4	13.7385	14.6849	14.7015	14.5541	14.7082	14.7409	15.034	14.8177			4	4	0.843589	0.223835	-0.40542	-1.68305
EI24	18.0947	18.1961	18.0958	18.2068	18.1456	18.2146	17.8366	17.9099			4	4	0.598887	0.344611	0.121684	1.26783
ENC1	17.5052	17.4816	17.588	17.5638	18.1135	18.1635	17.5983	18.0112			4	4	1.80732	0.0561185	-0.437021	-3.34144
KMT2D	14.5372	14.057	13.3107	13.9336	14.2856	14.0152	13.9584	13.6965			4	4	0.0361869	0.943765	-0.0292916	-0.104664
APAF1	14.8274	14.6278	14.5998	14.5958	14.2896	14.7212	14.8729	14.977			4	4	0.121695	0.814585	-0.0524814	-0.325823
RIOK3	16.7019	16.9075	16.6447	16.8359	15.7465	17.1592	17.1187	16.995			4	4	0.017413	0.970407	0.0176327	0.0513698
