#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PI_8h.txt#:type=:list
#Associated Gene Name	XPI_8h_Rep1	XPI_8h_Rep2	XPI_8h_Rep3	XPI_8h_Rep4	XDMSO_8h_Rep1_1	XDMSO_8h_Rep2_1	XDMSO_8h_Rep3_1	XDMSO_8h_Rep4_1	C: Student's T-test Significant PI_8h_DMSO_8h	C: Student's T-test significant	N: Valid values XPI_8h	N: Valid values XDMSO_8h	N: -Log Student's T-test p-value PI_8h_DMSO_8h	N: Student's T-test q-value PI_8h_DMSO_8h	N: Student's T-test Difference PI_8h_DMSO_8h	N: Student's T-test Test statistic PI_8h_DMSO_8h
UBA6	19.5184	19.4522	19.5455	19.5615	19.4447	19.4475	19.4763	19.5043			4	4	0.935826	0.303289	0.0512147	1.83659
ESYT2	18.348	18.353	18.4276	18.3578	18.2812	18.3586	18.3777	18.361			4	4	0.417773	0.59737	0.0269713	0.942875
MED19	16.3748	16.4619	16.3621	16.7474	16.3158	15.7058	16.5164	16.2507			4	4	0.724425	0.397321	0.289359	1.48293
KIAA1598	18.7341	18.8906	18.8732	18.8309	18.8834	18.9417	18.8856	18.9331			4	4	1.06951	0.262233	-0.0787554	-2.0587
ARHGAP10	15.2586	14.7215	15.088	14.9584	14.8652	14.9553	15.3525	15.2888			4	4	0.271762	0.721504	-0.108854	-0.65816
ANO9	14.9424	14.5841	15.1435	15.507	14.5069	14.3084	14.4507	14.5584			4	1	1.58463	0.152138	0.588158	2.93774
FAM168B	15.7275	14.0459	14.1271	15.1048	14.8252	15.7667	13.972	14.4339			4	4	0.00112177	0.998724	0.00187373	0.00337004
ILVBL	18.4089	17.9642	18.3194	18.1537	18.3434	18.0279	18.2119	17.751			4	4	0.339053	0.661124	0.128009	0.792802
PLEKHG3	18.3349	18.3147	18.3322	18.3306	18.0712	18.0876	18.0991	18.174	+	PI_8h_DMSO_8h	4	4	4.10849	0.0228571	0.220126	9.49236
SH3PXD2B	18.1456	18.0574	17.9945	17.9327	18.0921	18.13	17.9528	17.9391			4	4	0.0205711	0.97685	0.00401449	0.0604801
NBAS	15.6274	15.4052	15.5777	15.5587	15.7084	15.7655	15.7114	15.3508			4	4	0.373857	0.632735	-0.0917592	-0.860014
TARSL2	14.3193	14.1869	14.3648	14.6303	14.5998	14.5723	13.9088	14.2118			4	4	0.101635	0.892034	0.0521514	0.276634
VWA8	21.3305	21.2219	21.2066	21.3599	21.1747	21.0759	21.1854	21.1349			4	4	1.61831	0.14806	0.136988	2.99762
SBNO1	16.9998	16.9663	16.9544	17.2218	17.1482	16.8925	16.9232	17.0554			4	4	0.134039	0.857199	0.0307341	0.355402
GTPBP10	16.2814	16.3624	16.2372	16.3281	15.9455	16.1164	16.0074	16.1233			4	4	2.59451	0.0582556	0.254118	4.96329
WDR91	15.7412	15.5982	15.6484	15.3558	15.5858	15.7488	15.683	15.6034			4	4	0.326126	0.670275	-0.0694098	-0.767447
POTEF	15.0776	15.6785	15.9805	15.7073	15.3034	15.8156	16.7493	17.3865			3	4	0.672779	0.426287	-0.702709	-1.39513
TMEM189	16.0758	16.7352	16.755	16.7605	16.8945	17.0256	16.704	16.9892			4	4	0.886363	0.322238	-0.321733	-1.75434
CNOT1	18.9751	18.8269	18.9344	18.8289	18.9425	18.7677	18.8539	18.6795			4	4	0.552424	0.502666	0.0804896	1.18651
ARHGEF35	15.0796	15.7664	15.3348	15.7202	15.4142	15.4522	15.3867	15.5345			4	4	0.0601899	0.932775	0.0283403	0.170019
MAP1LC3B2	17.0524	16.8278	16.7563	16.7795	17.3644	16.9619	16.7811	16.754			4	4	0.298625	0.694626	-0.111366	-0.712729
MAP1LC3B	17.0524	16.8278	16.7563	16.7795	17.3644	16.9619	16.7811	16.754			4	4	0.298625	0.694626	-0.111366	-0.712729
FAM83G	15.6943	15.935	16.0084	16.1748	16.0403	15.7224	16.0298	15.6683			4	4	0.256352	0.733835	0.087923	0.626309
PGP	18.105	18.2353	18.1483	18.2588	18.4028	18.4291	18.3469	18.4606			4	4	2.6663	0.0569492	-0.223022	-5.13036
C5orf51	16.3508	16.3017	16.2356	16.6758	16.1211	15.9874	16.5356	16.2922			4	4	0.460703	0.565205	0.156892	1.02207
RCCD1	13.2921	13.5902	13.7532	13.2681	12.0873	13.0349	13.8447	13.4344			4	3	0.423287	0.593262	0.375561	0.953139
TUBAL3	18.3553	18.65	18.433	19.1128	18.6918	18.2435	18.6403	17.0238			4	4	0.532078	0.516507	0.487968	1.15051
SMCHD1	17.7793	17.7555	17.7785	17.6777	17.4754	17.6558	17.6742	17.5978			4	4	1.55689	0.156196	0.146945	2.88871
GATSL2	15.4408	15.6635	15.6163	15.883	14.4314	14.9695	15.1618	15.0013			4	4	2.22136	0.0925133	0.759903	4.15064
UNC119B	16.2114	16.6428	16.4372	16.7633	16.8438	17.1191	16.7372	17.3723			4	4	1.44455	0.173715	-0.504432	-2.69258
METTL15	15.2754	15.3987	15.3204	15.1104	15.3203	15.2942	15.0986	15.1195			4	4	0.349008	0.654489	0.068063	0.81218
CCDC85C	16.2923	16.3978	15.9464	16.118	15.937	15.9519	15.8595	16.1549			4	4	0.919882	0.307847	0.212781	1.8101
RGPD3	18.9419	18.9031	18.9168	18.8214	18.8038	18.958	18.9382	18.962			4	4	0.166486	0.822394	-0.019711	-0.430922
RP11-683L23.1	20.3791	19.0943	18.8738	19.4119	19.3849	20.7614	19.9905	20.0501			4	4	0.672094	0.425881	-0.606907	-1.39396
ARHGAP32	14.0072	14.0668	14.0816	13.807	14.2692	14.1292	13.8068	13.5752			4	3	0.098696	0.894764	0.0455265	0.269305
POM121C	16.6356	16.7761	16.8062	16.8705	16.7378	16.7183	16.779	16.8524			4	4	0.00127763	0.998825	0.000221729	0.0038376
C9orf169	16.8416	17.1712	15.4016	16.4427	15.3952	16.3396	16.6264	16.5431			4	4	0.196809	0.792353	0.238218	0.4989
SNRPG	20.9851	20.7358	20.9026	20.6674	20.8703	20.594	20.5254	20.3989			4	4	0.928405	0.306296	0.225589	1.82426
MIF4GD	14.627	13.9495	15.1851	13.5335	14.5493	12.6879	14.7175	13.4921			4	4	0.327611	0.669839	0.462113	0.770372
GPR89A	16.2387	15.925	15.8061	15.9001	16.2602	16.7698	15.7803	15.8464			4	4	0.341291	0.659475	-0.196661	-0.79717
GPR89B	16.2387	15.925	15.8061	15.9001	16.2602	16.7698	15.7803	15.8464			4	4	0.341291	0.659475	-0.196661	-0.79717
TMEM238	16.2349	15.8194	16.0747	16.0187	16.3466	16.1284	16.3909	16.2971			4	4	1.30851	0.200151	-0.253824	-2.4596
FAM195B	16.3827	16.2105	16.2863	16.0528	16.3792	16.4819	16.3948	16.2828			4	4	0.960793	0.293927	-0.151597	-1.87807
GOSR2	16.8612	16.7193	17.1442	17.1022	16.8034	16.3385	16.8433	16.8481			4	4	0.768406	0.376871	0.248381	1.55712
KLC1	18.2169	18.4429	18.3822	18.4857	18.2705	18.4639	18.449	18.4209			4	4	0.0946921	0.898755	-0.0191441	-0.259266
RAPGEF6	16.5643	15.802	16.7587	16.4772	16.3114	14.3212	16.3641	15.8915			3	4	0.617289	0.456617	0.678491	1.29975
RAPGEF2	16.5643	15.802	16.7587	16.4772	16.3114	14.3212	16.3641	15.8915			3	4	0.617289	0.456617	0.678491	1.29975
MTG1	17.2926	17.2384	17.1148	17.2686	17.0945	17.0165	17.0471	16.9964			4	4	2.25942	0.0921706	0.189977	4.22956
VKORC1	16.3835	16.8128	16.3067	16.7511	16.208	16.6644	16.938	16.7349			4	4	0.137622	0.854975	-0.0728297	-0.363897
BCKDHA	17.1327	17.3796	17.4593	17.5262	17.0758	17.1416	17.2864	16.9762			4	4	1.24966	0.214467	0.25446	2.36008
SPECC1L	15.8219	16.1255	15.8865	16.0486	15.9301	16.4331	15.9777	16.2916			4	4	0.636817	0.445541	-0.187506	-1.33346
PTGR2	14.5303	12.3873	13.3377	12.9972	13.0993	13.1838	12.6143	12.9433			4	2	0.319394	0.676048	0.352943	0.754153
PI4K2B	15.9975	15.2935	15.8769	15.4503	15.6359	15.484	15.7377	15.6514			4	4	0.0545656	0.939488	0.0273032	0.154965
TRAPPC2L	16.5817	17.1877	17.2663	17.3732	17.4895	17.0299	16.9189	17.4251			4	4	0.197177	0.792253	-0.113594	-0.49971
PAGR1	16.254	16.029	15.7378	16.3637	16.4691	15.5875	15.67	16.3545			3	4	0.104831	0.888117	0.0758495	0.284567
STX16	16.47	16.3101	16.2813	16.4375	16.5426	16.2835	16.3718	15.889			4	4	0.29491	0.698333	0.102991	0.705251
SYS1	16.539	15.9161	16.6796	16.3729	15.4576	14.5123	15.865	13.5917			4	3	1.53191	0.16096	1.52019	2.84477
RPL36A	18.7177	18.5224	19.1304	19.3455	18.7708	19.2826	19.8698	19.7808			4	4	0.778403	0.372618	-0.497025	-1.57392
RPL26	22.1423	22.0135	21.6999	21.6918	22.0354	22.4135	22.1308	22.6234			4	4	1.24721	0.215293	-0.413926	-2.35594
VAMP2	16.9856	17.8386	17.7833	17.4723	17.3701	17.3141	17.6086	17.4649			4	4	0.149297	0.84061	0.0805492	0.391301
DNASE2	17.561	17.6257	17.8274	17.6402	17.4642	18.1517	17.9009	17.7286			4	4	0.421295	0.59447	-0.14773	-0.949434
AGPS	19.7367	19.7282	19.8519	19.8919	19.7671	19.6467	19.8047	19.7049			4	4	0.631608	0.447977	0.0713329	1.32448
KIF2A	18.9092	18.896	19.0173	18.9047	19.0208	18.9873	18.8772	18.8544			4	4	0.021219	0.976105	-0.00310421	-0.0623413
DDX39A	22.7291	22.7611	22.784	22.7393	22.6643	22.6975	22.7083	22.7019			4	4	2.07407	0.0972833	0.0603433	3.85286
PDLIM1	21.5089	21.7436	21.5913	21.6614	21.5781	21.7281	21.713	21.6492			4	4	0.27941	0.714432	-0.040833	-0.673817
ACOT7	21.0804	21.0483	20.9945	21.1229	21.1017	20.9691	20.9464	20.8801			4	4	0.806829	0.359054	0.0871854	1.6216
MYO1C	20.1175	19.95	20.0475	20.0082	20.0047	20.0242	19.991	19.9319			4	4	0.481951	0.55149	0.0428443	1.0607
SNAP23	17.9002	18.1046	18.0155	18.0676	17.6883	17.9049	17.9518	18.0726			4	4	0.606638	0.464421	0.117565	1.2813
HAX1	16.1562	16.3255	16.5766	16.2996	16.6446	16.6039	16.4945	17.0209			4	4	1.29763	0.201303	-0.351506	-2.44115
AIP	17.8046	17.9914	17.8452	17.9721	18.0037	17.6215	17.8185	17.7928			4	4	0.468866	0.560286	0.0941968	1.03695
GTPBP1	18.0767	17.788	17.8538	17.7723	17.8785	17.9535	18.0037	17.8574			4	4	0.26709	0.725892	-0.0505648	-0.648548
STXBP3	18.8288	18.8898	18.9641	18.8658	18.7791	18.8745	18.7882	18.6198			4	4	1.04594	0.267651	0.121726	2.0195
AP4M1	14.5027	13.9757	12.98	14.1626	14.5554	15.6049	14.9278	15.2867			4	4	1.6121	0.148341	-1.18841	-2.98656
C11orf58	17.1962	17.2717	17.594	17.4386	16.8871	16.7895	17.5346	17.3645			4	4	0.530099	0.517036	0.231192	1.147
RAB27B	16.8908	16.4286	16.6158	16.6482	16.5457	15.99	16.5799	16.3831			4	4	0.818681	0.353178	0.271185	1.64143
AP3B1	20.1472	20.0638	20.1089	20.0375	20.1151	20.1502	20.1968	20.0298			4	4	0.335132	0.66413	-0.0336275	-0.785136
SULT2B1	16.9985	17.1596	17.216	17.1446	16.913	17.0591	17.2435	17.2078			4	4	0.0983143	0.894921	0.0238109	0.26835
LGALS8	15.9874	16.3529	16.2973	16.3252	15.9018	16.4563	16.155	16.4253			4	4	0.0132993	0.983726	0.0061233	0.0394111
NDUFS8	18.7715	18.3987	18.6792	18.2621	18.6622	18.3881	18.7015	18.4355			4	4	0.0463698	0.949435	-0.0189447	-0.132749
TNFRSF10A	15.3562	16.1358	16.1587	16.392	16.139	15.6471	16.2491	15.9991			4	4	0.00265696	0.996794	0.00207901	0.00796806
PSMD11	19.5722	19.5114	19.4054	19.4992	19.5143	19.5761	19.4752	19.5812			4	4	0.408035	0.604239	-0.0396643	-0.924673
PSMD12	20.2261	20.0999	20.1707	20.1534	20.2307	20.2649	20.1968	20.2232			4	4	1.18193	0.228561	-0.0663738	-2.24628
PSMD9	18.7781	19.0016	18.8087	18.7051	18.725	19.0023	18.8118	19.0455			4	4	0.309287	0.685492	-0.0727987	-0.734073
BMPR1B	12.2214	12.7949	12.8668	13.1036	12.4773	12.7381	12.6295	12.9085			4	3	0.103115	0.889764	0.0582955	0.280314
BMPR1A	12.2214	12.7949	12.8668	13.1036	12.4773	12.7381	12.6295	12.9085			4	3	0.103115	0.889764	0.0582955	0.280314
ATOX1	16.6418	17.2607	17.202	17.1954	16.5137	16.9421	17.1231	16.9183			4	4	0.467699	0.560536	0.200667	1.03483
MEN1	16.6884	16.608	16.7617	16.5413	16.6548	16.2303	16.5764	16.6645			4	4	0.474625	0.55566	0.118336	1.04742
CBX4	17.1113	16.7625	16.752	16.5878	16.5301	16.6612	16.9618	16.7564			4	4	0.212308	0.776019	0.0760803	0.532787
PGRMC1	20.4823	20.643	20.6794	20.5919	20.521	20.5957	20.6847	20.6087			4	4	0.0209214	0.976639	-0.00334692	-0.0614867
SUPT5H	19.2524	19.4013	19.3824	19.4325	19.2596	19.3075	19.2745	19.4217			4	4	0.422079	0.594001	0.0513358	0.950893
TAF4	15.2252	15.0618	15.1051	15.103	15.4015	15.0929	15.1618	15.4126			4	4	0.798099	0.363714	-0.143442	-1.60697
DFFA	17.1117	17.106	17.2757	17.3117	17.1264	16.9993	17.1878	17.2318			4	4	0.383653	0.622204	0.0649118	0.878675
RFXAP	11.3324	11.3821	11.1443	11.7948	10.3398	11.6474	11.6976	12.1396			4	3	0.035865	0.958204	-0.0427177	-0.103767
CLIC1	23.2644	23.2266	23.2189	23.1322	23.2741	23.219	23.2846	23.1544			4	4	0.220046	0.768722	-0.0224824	-0.549504
EIF3F	20.0606	20.1848	20.255	20.398	20.3087	20.348	20.2768	20.358			4	4	0.645898	0.441923	-0.0982585	-1.34907
WWP2	15.4663	15.544	15.6303	15.7691	15.8912	15.5583	15.3187	15.5374			3	4	0.0689235	0.925047	0.0260198	0.193101
PDHX	18.3022	17.9454	17.9387	17.8669	18.1455	18.1432	18.1036	18.0704			4	4	0.464233	0.563039	-0.102381	-1.02851
QSOX1	15.8098	17.1777	17.0923	16.8509	17.2816	16.9957	17.3708	17.2156			4	4	0.725981	0.396768	-0.483265	-1.48556
DCTN6	17.4789	17.2318	16.8675	17.4102	17.5955	17.8169	17.5856	17.8389			4	4	1.62974	0.146508	-0.462101	-3.01804
SLC33A1	16.4171	16.4544	16.347	16.3803	16.5701	16.5825	16.1778	16.2938			4	4	0.020757	0.976735	-0.00633144	-0.0610142
WASL	17.4915	17.3706	17.2918	17.1437	17.0624	16.8995	17.0662	17.0577			4	4	1.95933	0.107728	0.302962	3.62874
IPO5	20.9627	21.0315	21.0517	21.2604	21.2835	20.9639	21.1336	21.0019			4	4	0.0706628	0.923034	-0.0191221	-0.197657
POLRMT	15.3562	15.3725	15.2187	15.6839	15.8362	15.4181	15.2533	15.4755			4	4	0.224421	0.764182	-0.0879364	-0.558901
SAP18	19.321	17.4791	17.866	17.2364	17.8612	17.4206	18.3016	17.9777			4	4	0.0603063	0.933172	0.0853534	0.170329
DNM1L	19.4467	19.351	19.5288	19.3648	19.3645	19.3168	19.4693	19.3133			4	4	0.46779	0.560788	0.0568399	1.03499
RTCA	18.5752	18.3523	18.5785	18.6905	18.2738	18.0691	18.4347	18.0806			4	4	1.60811	0.148188	0.334579	2.97945
PIK3C2A	17.892	17.9169	17.9101	17.9485	18.0471	17.7887	17.8415	17.6164			4	4	0.472946	0.556812	0.0934486	1.04437
IFRD1	14.0884	14.6132	15.5125	15.125	14.8091	15.9736	16.6718	16.4193			4	4	1.15315	0.236128	-1.13366	-2.19814
GOLIM4	15.0118	14.7174	14.5213	14.7587	14.6717	15.2399	14.7939	15.593			4	4	0.661148	0.434363	-0.322323	-1.37523
MANBA	16.8828	17.0104	16.9441	16.9286	16.9276	17.0598	16.8693	16.8261			4	4	0.136888	0.855712	0.0207415	0.362162
AGRN	17.7538	17.7546	17.8492	17.9721	18.385	18.1555	18.3176	18.33	+	PI_8h_DMSO_8h	4	4	3.19975	0.0507	-0.464602	-6.49981
EXOC5	17.6212	17.5441	17.6386	17.4731	17.5999	17.6372	17.5448	17.5495			4	4	0.114988	0.876178	-0.0136046	-0.309534
NDUFA4	19.0635	17.7455	18.6308	19.7128	19.907	20.4177	19.4961	19.7468			4	4	1.2849	0.203435	-1.10375	-2.41958
PSMD14	20.1512	20.1437	19.9231	20.0038	20.0941	20.0576	20.0177	20.0325			4	4	0.0295683	0.966724	0.0050025	0.0861075
ZNF593	15.9809	15.62	15.8201	16.0233	16.5441	16.6683	16.1028	16.4681			4	4	2.06933	0.0977643	-0.584775	-3.84347
BIN1	17.1488	16.8871	17.1335	16.9151	17.1092	16.8869	17.2737	17.0318			4	4	0.201781	0.786395	-0.054285	-0.509831
KPNA3	19.3959	19.3145	19.3123	19.4796	19.5648	19.1832	19.3514	19.326			4	4	0.078521	0.916131	0.0192375	0.218071
USP9Y	17.9944	17.9837	17.925	17.9416	17.856	17.8174	17.8173	17.7208			4	4	2.50512	0.0670133	0.158346	4.76037
LAD1	19.0748	19.353	19.2354	19.346	19.228	19.2373	19.2734	19.3502			4	4	0.103891	0.889378	-0.0199523	-0.282239
PES1	19.1126	19.177	19.1418	19.2331	19.0855	19.1397	19.0979	19.2362			4	4	0.250112	0.738802	0.0262885	0.613291
SDCBP	19.7486	19.3718	19.2171	19.4574	19.3728	19.1176	18.8286	19.1158			4	4	1.12914	0.244845	0.340019	2.15803
PITPNM1	13.5594	13.4563	13.2688	13.3746	13.8725	14.5032	13.4002	14.3635			4	4	1.27237	0.206543	-0.620054	-2.39841
MPHOSPH10	17.2799	17.2447	17.3182	17.1982	16.8928	16.7872	17.2757	16.9609			4	4	1.39017	0.182872	0.281116	2.5989
NOP56	20.2063	20.2712	20.2775	20.2308	20.1003	20.1264	20.2679	20.2147			4	4	0.81207	0.35669	0.0691109	1.63037
DDX3X	21.3029	21.3705	21.2267	21.1996	21.3609	21.3517	21.2579	21.4221			4	4	0.68974	0.41465	-0.0732188	-1.42405
RNASET2	18.4455	18.4766	18.5194	18.4435	18.2926	18.435	18.4214	18.4589			4	4	0.840731	0.342791	0.0692701	1.67828
PODXL	19.0694	19.2759	19.3395	19.1705	18.9434	18.941	19.6003	18.9184			4	4	0.262437	0.729956	0.113026	0.638937
PIR	15.7602	16.8157	16.3685	16.4685	15.9433	17.2118	16.738	16.4296			4	4	0.271976	0.721286	-0.227443	-0.658599
KPNA4	17.9435	17.5068	17.5447	17.6121	17.4873	17.1227	17.603	17.4261			4	4	0.849566	0.339329	0.242005	1.69302
E2F3	16.5047	16.8654	16.349	16.0491	16.9712	15.8529	16.9063	16.541			4	4	0.156905	0.833887	-0.12579	-0.408941
PPP6C	18.376	18.2285	18.2641	18.3328	18.3257	18.3319	18.2253	18.1748			4	4	0.294933	0.698466	0.0359201	0.705298
CES2	16.0265	15.8901	16.1142	15.7256	16.291	16.5251	16.3476	16.2346			4	4	2.09183	0.0983322	-0.41045	-3.88813
PIK3C2B	16.3461	15.9971	16.2579	16.24	16.5949	16.4488	16.1548	16.3076			4	4	0.66493	0.431023	-0.166297	-1.38171
MAN2B1	17.5793	17.7673	17.7521	17.7222	17.5405	17.6172	17.6804	17.4834			4	4	1.06396	0.263217	0.12489	2.04947
UBE2C	18.4945	18.39	18.5422	18.5116	19.0341	18.2916	18.1287	18.6316			4	4	0.0646439	0.929529	-0.0369349	-0.181835
PDXK	19.5652	19.1428	19.3689	18.9908	19.2369	19.4537	19.4489	19.5024			4	4	0.465051	0.563133	-0.143522	-1.03
SCD	17.3148	19.1015	18.5774	18.6033	18.6998	18.1461	18.3904	18.182			4	4	0.0385321	0.957034	0.0446606	0.111181
PPAP2A	17.3166	15.8107	16.7943	16.2221	16.273	15.9008	17.0525	16.323			4	3	0.137779	0.854876	0.148598	0.364269
ARID1A	18.5157	18.6056	18.4776	18.5612	18.3829	18.3097	18.4492	18.4476			4	4	1.78905	0.127295	0.142691	3.30758
SOCS2	15.8629	15.6069	15.489	15.5836	15.8347	15.7893	15.3769	15.6368			4	4	0.0649411	0.929457	-0.0238483	-0.18262
SDHD	16.3813	17.074	15.779	14.8088	17.0627	17.4212	16.4703	17.1044			4	4	0.993582	0.284929	-1.00387	-1.93252
TMEM194A	15.6911	16.1376	16.2369	15.9603	15.8126	16.2668	15.9314	15.9593			4	4	0.0311803	0.964323	0.0139523	0.0906498
CUX2	15.2239	15.8469	16.1458	16.6835	15.9707	15.882	16.0212	15.6637			4	4	0.106335	0.885793	0.0906534	0.288288
TXNDC9	18.9929	19.0883	19.0101	19.0332	19.2532	19.1586	18.9841	19.2967			4	4	1.01185	0.277182	-0.142017	-1.96286
TRAFD1	12.7681	13.2232	12.3031	13.1656	12.6502	13.7324	13.0105	13.5795			4	4	0.530704	0.517055	-0.378175	-1.14807
COX7A2L	15.6579	15.5536	15.6346	15.4519	16.2286	16.2412	15.6989	15.727			4	4	1.35006	0.191596	-0.399404	-2.53029
NDUFAB1	18.8362	18.9865	18.9188	19.1841	18.9433	18.661	18.946	18.645			4	4	0.80944	0.357057	0.182565	1.62597
UBFD1	17.8032	17.8067	17.7315	17.7799	17.6706	18.0446	17.9812	17.8127			4	4	0.517224	0.525142	-0.0969648	-1.12408
CYB561D2	14.5929	14.9242	14.9915	14.9627	14.7099	15.3003	15.0375	15.3558			4	4	0.638847	0.444877	-0.233064	-1.33695
CIT	15.6638	15.6641	15.4802	15.5973	15.514	15.829	15.503	15.8816			4	4	0.309832	0.684873	-0.0805976	-0.735161
COPE	18.7725	18.9719	19.058	19.0982	19.0976	18.7716	18.9883	18.9527			4	4	0.0822661	0.914251	0.0225916	0.227707
RFXANK	13.2846	13.6704	13.7521	13.5638	13.8386	12.0266	13.6637	13.1238			4	4	0.427685	0.589001	0.404521	0.961308
CDC42EP2	17.6612	16.3015	17.3417	17.3643	16.5381	16.744	17.1955	16.1866			4	4	0.660645	0.434348	0.501147	1.37437
AP3D1	18.9698	18.8507	18.8823	18.8991	18.9408	18.8228	18.9584	18.9279			4	4	0.112511	0.878955	-0.0120139	-0.303481
CCS	17.5603	17.4153	17.0223	17.2674	17.4015	17.5477	17.276	17.4589			4	4	0.351406	0.652598	-0.10468	-0.816828
ABLIM1	16.0545	16.4215	16.4223	16.255	15.7994	16.0062	16.3564	16.3509			4	4	0.441311	0.578145	0.160112	0.9865
DVL2	16.2728	17.4673	17.178	17.5274	17.3355	17.5563	17.2273	17.2848			4	4	0.344036	0.657795	-0.239572	-0.802517
CHD1	16.5032	16.4483	16.5636	16.5306	16.6712	16.3494	16.5515	16.6573			4	4	0.237929	0.752219	-0.0459499	-0.58766
CHD2	16.7233	16.8353	16.9446	16.8276	16.6603	16.6105	16.9226	16.6767			4	4	0.666763	0.429482	0.115166	1.38484
TOR1A	17.366	17.3261	17.4316	17.3907	17.697	17.5161	17.5838	17.4102			4	4	1.45004	0.173596	-0.173173	-2.70208
TOR1B	16.7878	16.8441	16.9993	16.9337	16.9127	17.1113	16.9901	17.0295			4	4	0.982606	0.287834	-0.119683	-1.91429
ADAM10	18.5355	18.82	18.8131	18.755	18.0648	18.4338	18.5569	18.6049			4	4	1.195	0.225935	0.315818	2.26819
ABCD4	15.374	14.764	15.0045	15.0692	14.7082	14.7409	15.034	14.8177			4	4	0.773893	0.374637	0.227722	1.56635
EI24	18.0612	17.9829	17.6089	18.0346	18.1456	18.2146	17.8366	17.9099			4	4	0.318203	0.676512	-0.104755	-0.751794
ENC1	17.8583	17.9602	18.011	17.9525	18.1135	18.1635	17.5983	18.0112			4	4	0.0706673	0.9232	-0.0261521	-0.197668
KMT2D	14.282	14.1791	13.631	14.0989	14.2856	14.0152	13.9584	13.6965			4	4	0.116429	0.875512	0.0588121	0.313047
APAF1	14.5128	14.932	14.9879	14.6205	14.2896	14.7212	14.8729	14.977			4	4	0.0919094	0.902861	0.0481169	0.252252
RIOK3	16.1372	16.6374	16.6999	16.4888	15.7465	17.1592	17.1187	16.995			4	4	0.308341	0.686394	-0.26404	-0.732187
MAP2K7	15.7733	15.7514	15.629	15.3425	15.3995	15.3824	15.9627	15.3972			4	4	0.2021	0.786204	0.0885987	0.510531
ACOT8	17.1662	17.1693	17.1157	17.0673	17.0563	17.2035	17.2618	17.1805			4	4	0.409525	0.602766	-0.0459433	-0.927464
