#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PI_8h.txt#:type=:list
#Associated Gene Name	XPI_8h_Rep1	XPI_8h_Rep2	XPI_8h_Rep3	XPI_8h_Rep4	XDMSO_8h_Rep1_1	XDMSO_8h_Rep2_1	XDMSO_8h_Rep3_1	XDMSO_8h_Rep4_1	C: Student's T-test Significant PI_8h_DMSO_8h	C: Student's T-test significant	N: Valid values XPI_8h	N: Valid values XDMSO_8h	N: -Log Student's T-test p-value PI_8h_DMSO_8h	N: Student's T-test q-value PI_8h_DMSO_8h	N: Student's T-test Difference PI_8h_DMSO_8h	N: Student's T-test Test statistic PI_8h_DMSO_8h
GNG10	18.1301	17.2779	17.1817	17.4347	17.6104	18.2605	17.677	16.888			4	4	0.107381	0.883964	-0.102865	-0.290871
TMA7	12.2905	11.8029	12.7266	13.6787	16.0556	18.2451	14.2261	16.927			4	4	2.15271	0.0944961	-3.73876	-4.01036
ALG9	17.471	17.4177	17.4163	17.325	17.5352	17.3862	17.5654	17.3569			4	4	0.386428	0.619643	-0.0534325	-0.883942
ARHGEF18	15.653	15.5034	15.0383	15.5685	15.1912	15.2218	14.7569	15.2327			4	4	0.972444	0.289824	0.340159	1.89742
TMED7	18.0568	17.8819	17.8439	17.841	17.8669	17.8854	17.8947	17.9376			4	4	0.0651356	0.929741	0.0097599	0.183134
ZFP91	14.8624	15.62	15.4266	15.1389	14.945	14.824	15.3953	15.4368			4	4	0.193256	0.795328	0.111684	0.491053
C15orf38	16.6973	16.6933	16.596	16.8115	16.6813	16.4851	17.1019	16.7428			4	4	0.149448	0.841086	-0.0532808	-0.391654
RPL17	21.9317	22.137	22.1326	22.2033	21.9444	21.8576	22.022	22.0331			4	4	0.983355	0.287639	0.136894	1.91554
PPAN	17.7736	17.5455	17.6431	17.5057	17.528	17.5594	17.7048	17.615			4	4	0.0767847	0.91754	0.0151949	0.213584
SRCAP	16.2025	16.248	16.2158	16.2767	16.0376	16.1079	16.273	15.8438			4	4	0.963011	0.293134	0.170158	1.88175
ZNF320	15.7121	15.2369	14.4695	14.4291	15.2555	15.3187	14.0742	14.7673			4	4	0.0928472	0.901251	0.107967	0.25462
ZNF845	15.7121	15.2369	14.4695	14.4291	15.2555	15.3187	14.0742	14.7673			4	4	0.0928472	0.901251	0.107967	0.25462
AHR	15.4112	15.5139	15.5089	15.4325	16.1213	16.7252	16.9697	16.9308	+	PI_8h_DMSO_8h	4	4	3.07994	0.0471429	-1.22011	-6.171
PARL	17.7039	16.6762	17.3425	17.1239	17.1435	16.6824	17.2697	16.8776			4	4	0.376969	0.629557	0.218335	0.865955
GDPGP1	15.1321	14.7508	14.4614	14.6125	14.7333	14.3402	14.7181	14.5077			4	4	0.426112	0.590616	0.164361	0.958387
RBM47	17.6451	17.6591	17.5858	17.6659	17.5656	17.4938	17.6256	17.6016			4	4	1.02114	0.273287	0.0673418	1.97829
TTC26	15.0723	15.2599	15.3549	15.6879	14.3493	13.9136	15.6594	15.1531			4	4	0.670835	0.426308	0.574914	1.39181
