#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/5Z_2h.txt#:type=:list
#Associated Gene Name	X5Z_2h_Rep1	X5Z_2h_Rep2	X5Z_2h_Rep3	X5Z_2h_Rep4	XDMSO_2h_Rep1_1	XDMSO_2h_Rep2_1	XDMSO_2h_Rep3_1	XDMSO_2h_Rep4_1	C: Student's T-test Significant 5Z_2h_DMSO_2h	C: Student's T-test significant	N: Valid values X5Z_2h	N: Valid values XDMSO_2h	N: -Log Student's T-test p-value 5Z_2h_DMSO_2h	N: Student's T-test q-value 5Z_2h_DMSO_2h	N: Student's T-test Difference 5Z_2h_DMSO_2h	N: Student's T-test Test statistic 5Z_2h_DMSO_2h
PLEKHG3	17.9882	18.2635	18.2067	18.3069	17.9779	18.2464	18.1245	18.1947			4	4	0.246145	0.934951	0.055449	0.604977
SH3PXD2B	18.0015	18.0931	17.9032	17.8561	18.0288	17.9772	17.8685	17.8025			4	4	0.24454	0.934905	0.0442624	0.601604
NBAS	15.6172	15.2805	15.6891	15.5253	15.7126	15.5052	15.7217	15.4149			4	4	0.204521	0.947629	-0.0605664	-0.515828
TARSL2	14.3926	14.3925	14.7435	14.2545	14.4797	14.6592	14.3452	13.7013			4	4	0.263362	0.928531	0.149442	0.640851
VWA8	21.1106	21.0809	21.2567	21.1581	21.1163	21.0565	21.155	21.128			4	4	0.374271	0.891973	0.037653	0.860805
SBNO1	16.9856	17.0156	16.9506	17.1193	17.1506	16.9471	17.0157	17.0186			4	4	0.0996642	0.975488	-0.0152063	-0.271723
GTPBP10	16.0816	15.9307	16.2268	16.1835	16.1823	16.04	16.1981	15.9528			4	4	0.0490958	0.990499	0.0123675	0.140176
WDR91	16.2471	15.9685	15.8992	15.4953	15.2117	15.7907	15.6485	15.546			4	4	0.903695	0.705899	0.353307	1.78318
POTEF	16.0977	16.227	16.1118	15.9467	16.992	18.0041	16.6872	16.6881			3	4	1.69836	0.57675	-0.997049	-3.14157
TMEM189	16.6935	16.6217	16.7756	16.8013	16.7377	16.7571	16.551	15.4862			4	4	0.511479	0.829253	0.340011	1.11381
CNOT1	18.8668	18.8077	18.864	18.8075	18.9689	18.872	18.8814	18.8177			4	4	0.656879	0.772476	-0.0485201	-1.36792
ARHGEF35	15.4318	15.3174	15.5115	15.6509	14.9905	15.1271	15.367	15.4631			4	4	0.954354	0.685927	0.240955	1.86737
MAP1LC3B2	17.2572	16.5942	16.4754	16.938	17.2152	16.8455	16.6188	16.6681			4	4	0.0320089	0.992807	-0.0206857	-0.0929787
MAP1LC3B	17.2572	16.5942	16.4754	16.938	17.2152	16.8455	16.6188	16.6681			4	4	0.0320089	0.992807	-0.0206857	-0.0929787
FAM83G	16.1185	15.7642	15.7768	15.9689	15.9378	15.8306	16.0989	15.7172			4	4	0.0321848	0.993086	0.0109634	0.0934728
PGP	18.2407	18.2053	18.2391	18.2755	18.3245	18.394	18.3077	18.4448			4	4	1.97703	0.522198	-0.127588	-3.66289
C5orf51	15.8269	15.237	15.693	16.1906	15.3522	15.9406	16.3554	16.1817			4	4	0.31684	0.911215	-0.220636	-0.749093
TUBAL3	18.3756	18.1399	18.4408	18.8045	18.8107	18.4603	18.4208	18.2781			4	4	0.108529	0.971986	-0.0522981	-0.293702
SMCHD1	17.5001	17.566	17.6463	17.4578	17.4938	17.5787	17.6232	17.626			4	4	0.310634	0.909246	-0.0378714	-0.736758
GATSL2	15.6278	14.9031	14.6664	15.051	15.1966	15.1776	15.1125	14.677			4	4	0.0304534	0.992964	0.0211291	0.0886034
UNC119B	16.8307	17.1239	16.7403	16.7296	16.835	16.9457	16.7735	16.9168			4	4	0.0403067	0.991128	-0.0116181	-0.116093
METTL15	15.266	15.1176	15.1924	15.0491	15.3903	15.0056	15.0641	15.0233			4	4	0.130665	0.962423	0.0354476	0.347368
CCDC85C	16.2655	16.4435	15.9825	16.2398	16.1358	16.0264	15.887	16.0603			4	4	0.972268	0.68613	0.205436	1.89713
RGPD3	18.9489	18.9776	18.938	18.9519	18.87	18.9122	18.9257	18.9285			4	4	1.52314	0.557946	0.0449929	2.82939
RP11-683L23.1	19.774	20.1806	19.8269	19.9419	19.9554	20.1977	20.2054	20.2508			4	4	1.0178	0.676276	-0.221496	-1.97274
ARHGAP32	14.4515	13.5867	14.5815	14.0547	14.3278	14.3691	13.919	13.2724			4	4	0.234238	0.937635	0.196537	0.579839
POM121C	16.7618	16.9079	16.7582	16.9269	16.6704	16.861	16.7499	16.7656			4	4	0.606501	0.787471	0.0769672	1.28106
C9orf169	16.2691	16.6719	16.4981	16.2847	15.4172	15.8598	16.3597	15.9091			4	4	1.35027	0.592284	0.544522	2.53065
SNRPG	20.5686	20.2874	20.294	20.7893	21.0732	21.0881	20.5848	20.2534			4	4	0.516976	0.825148	-0.265061	-1.12363
MIF4GD	14.852	14.5319	14.8539	13.953	15.9919	16.6746	14.4848	13.3408			4	4	0.311423	0.908695	-0.575327	-0.738329
GPR89A	16.5514	16.3905	16.0732	16.1049	16.3576	16.0763	16.053	16.0418			4	4	0.48892	0.842755	0.147815	1.07329
GPR89B	16.5514	16.3905	16.0732	16.1049	16.3576	16.0763	16.053	16.0418			4	4	0.48892	0.842755	0.147815	1.07329
TMEM238	16.4031	16.1709	16.2985	16.5352	16.3664	15.9922	15.8972	15.5507			4	4	1.13496	0.641416	0.400269	2.16775
FAM195B	16.6958	16.7941	16.4879	16.5424	16.4271	15.9561	16.4359	16.4182			4	4	1.23695	0.628177	0.320703	2.33867
GOSR2	16.8941	16.8846	16.9357	16.6691	17.4141	17.0143	16.5705	16.7211			4	4	0.166427	0.951538	-0.0841131	-0.430789
KLC1	18.3918	18.4403	18.427	18.4544	18.3088	18.4492	18.4628	18.2894			4	4	0.487639	0.842799	0.0508494	1.07098
RAPGEF6	15.5476	15.5044	16.2724	16.1911	17.1606	16.996	16.3373	16.2072			4	3	1.35935	0.589507	-0.796423	-2.54616
RAPGEF2	15.5476	15.5044	16.2724	16.1911	17.1606	16.996	16.3373	16.2072			4	3	1.35935	0.589507	-0.796423	-2.54616
MTG1	17.2111	17.3317	17.1793	17.2181	17.0189	17.2893	17.1137	16.9385			4	4	0.888326	0.708199	0.144968	1.75761
VKORC1	16.7051	16.7768	16.2571	16.0117	16.3104	16.9491	16.6691	16.6924			4	4	0.430725	0.865663	-0.217548	-0.966941
BCKDHA	16.8685	16.8987	17.1816	17.0441	17.0099	16.9132	17.148	17.0103			4	4	0.0930062	0.977562	-0.0221386	-0.255021
SPECC1L	15.6042	15.8348	15.7803	15.8983	15.5359	15.7409	15.9685	15.991			4	4	0.0865373	0.977196	-0.0296834	-0.238626
PTGR2	12.9012	11.0161	12.4637	11.633	15.4079	13.2323	12.0447	12.0344			4	4	0.622367	0.780781	-1.17631	-1.30853
PI4K2B	15.4843	15.4758	15.4784	15.342	16.4265	16.2488	15.8229	15.4566			4	4	1.31087	0.588661	-0.543566	-2.4636
TRAPPC2L	17.1364	17.3381	17.0314	17.3296	17.3549	17.4664	17.0947	17.1471			4	4	0.1944	0.950983	-0.0569229	-0.493583
PAGR1	16.3142	15.0525	15.147	16.3476	15.5478	15.5579	15.4242	15.3755			4	4	0.275532	0.924582	0.238959	0.665889
STX16	16.3973	16.0043	16.1561	16.3197	16.4621	16.263	16.1179	16.459			4	4	0.383081	0.887686	-0.106115	-0.877589
SYS1	14.9463	15.9491	16.2269	15.292	17.5899	17.2954	15.6975	14.4987			4	4	0.371338	0.891886	-0.666831	-0.8552
GABARAP	14.9727	14.9914	15.155	13.461	15.5818	15.912	15.0889	13.9248			4	3	0.352247	0.894375	-0.481842	-0.818456
GABARAPL1	14.9727	14.9914	15.155	13.461	15.5818	15.912	15.0889	13.9248			4	3	0.352247	0.894375	-0.481842	-0.818456
RPL36A	19.7862	19.7005	19.6747	19.605	19.2018	19.6991	19.4442	21.285			4	4	0.178337	0.949504	-0.215947	-0.457768
RPL26	22.3651	22.6391	22.2368	22.3966	22.06	22.2007	22.252	22.7543			4	4	0.213476	0.945028	0.0926809	0.535319
VAMP2	17.3366	17.5108	17.7426	17.8047	17.5074	17.4765	17.7706	17.8667			4	4	0.149314	0.954599	-0.0566459	-0.39134
DNASE2	17.5025	17.9105	17.8413	17.7109	17.5738	17.6551	18.0521	18.0641			4	4	0.245723	0.935182	-0.0949993	-0.604089
AGPS	19.6091	19.6139	19.7595	19.75	19.7536	19.7704	19.8068	19.7333			4	4	0.959135	0.690375	-0.0829458	-1.87531
KIF2A	18.969	18.9212	18.9828	18.9835	18.9405	18.9068	18.9084	18.8972			4	4	1.57326	0.580756	0.0509386	2.91762
DDX39A	22.6671	22.6179	22.7	22.6099	22.6325	22.6543	22.5711	22.6342			4	4	0.406874	0.878601	0.025701	0.922496
PDLIM1	21.5175	21.6472	21.6269	21.6765	21.5478	21.678	21.6409	21.6126			4	4	0.021461	0.996929	-0.0027914	-0.0630361
ACOT7	20.9493	20.9613	20.9983	21.0257	21.104	21.0656	20.9113	20.8472			4	4	0.00845789	0.999626	0.00160551	0.025199
MYO1C	19.8651	19.8822	19.8906	19.9889	20.0228	20.02	20.033	19.9258			4	4	1.33244	0.591991	-0.0936704	-2.50027
SNAP23	17.5695	17.8666	17.8437	17.8173	17.5935	17.5951	17.8548	18.0456			4	4	0.00518396	1	0.0020113	0.0155018
HAX1	16.2939	16.4118	16.9274	16.3985	16.2412	15.8591	16.2578	16.4358			4	4	0.826345	0.71595	0.309411	1.65424
AIP	17.9593	17.8475	17.8965	17.9087	17.7811	17.9019	17.9831	17.75			4	4	0.360038	0.89438	0.0489793	0.833505
GTPBP1	17.9493	17.8377	17.8984	17.8803	18.1687	18.0359	17.9587	17.844			4	4	0.754182	0.743807	-0.110363	-1.53318
STXBP3	18.6715	18.728	18.7474	18.7373	18.537	18.5776	18.7719	18.7003			4	4	0.622035	0.780536	0.0743775	1.30796
AP4M1	14.8687	15.0853	14.4648	15.2481	14.7625	15.3208	14.9541	15.6288			4	4	0.434161	0.864092	-0.249835	-0.9733
C11orf58	17.2067	17.0176	17.3835	17.3559	16.8908	16.995	17.2975	17.2701			4	4	0.433568	0.8644	0.127565	0.972205
RAB27B	16.4881	15.9819	16.3023	15.9281	17.339	16.8056	16.1689	16.2228			4	4	0.734242	0.756918	-0.458993	-1.49953
AP3B1	20.141	20.1271	20.1628	20.0556	20.2767	20.2142	20.1591	20.0542			4	4	0.467474	0.848891	-0.0544076	-1.03442
SULT2B1	16.9804	17.0109	17.233	17.0451	16.9712	16.8773	17.1588	17.1535			4	4	0.111999	0.97072	0.0271587	0.302225
LGALS8	16.1585	16.4114	16.224	16.309	16.031	16.0875	16.272	16.3519			4	4	0.42973	0.866141	0.0900979	0.965099
NDUFS8	18.7956	18.5674	18.7149	18.6188	18.7767	18.6179	18.6804	18.7009			4	4	0.122599	0.96614	-0.0198002	-0.328004
TNFRSF10A	16.2324	16.1041	16.2411	16.4849	15.8073	16.0641	16.304	16.1493			4	4	0.681293	0.759173	0.184443	1.40966
PSMD11	19.5378	19.5392	19.444	19.5205	19.5391	19.5219	19.4791	19.4964			4	4	0.0160478	0.999299	0.00124121	0.0474127
PSMD12	20.1784	20.2505	20.1822	20.1439	20.2769	20.3391	20.2052	20.2254			4	4	1.00645	0.678726	-0.0728717	-1.95388
PSMD9	18.9936	19.0158	18.8409	18.8561	18.8117	18.987	18.8502	18.9399			4	4	0.190348	0.950606	0.0293903	0.484608
ATOX1	16.4118	16.6171	17.0256	16.8944	16.6991	16.7263	16.9036	16.8574			4	4	0.155141	0.953221	-0.0593386	-0.404867
MEN1	16.3843	16.4943	16.8392	16.6786	17.0827	16.5113	16.5844	16.5174			4	4	0.170555	0.952045	-0.0748663	-0.440181
CBX4	16.8151	16.5668	16.9067	16.6549	16.8124	16.6249	16.7949	16.8529			4	4	0.146843	0.956974	-0.0353637	-0.385576
PGRMC1	20.8325	20.5941	20.6245	20.6298	20.4086	20.4602	20.5621	20.6278			4	4	1.10111	0.65885	0.155549	2.11131
SUPT5H	19.2687	19.3427	19.2882	19.3525	19.2674	19.2682	19.1822	19.3861			4	4	0.340297	0.90069	0.0370593	0.795231
TAF4	15.3251	15.0642	15.1339	15.2645	15.1779	14.8833	15.2979	15.0375			4	4	0.399942	0.882154	0.0977652	0.909474
DFFA	17.1333	17.1364	17.3115	17.1046	17.263	17.2019	17.267	17.154			4	4	0.405426	0.878795	-0.0500274	-0.919779
RFXAP	10.0427	9.08089	11.6215	11.3898	11.0791	11.4713	11.7249	11.7936			4	3	0.789005	0.725488	-0.983504	-1.59172
CLIC1	23.2022	23.1445	23.0823	23.0922	23.3811	23.261	23.2951	23.2495			4	4	2.19661	0.498145	-0.166369	-4.09977
EIF3F	20.2576	20.325	20.4186	20.4938	20.3393	20.2629	20.275	20.2178			4	4	0.875334	0.716188	0.100003	1.73598
WWP2	15.2836	15.4043	15.6199	15.5594	16.3037	15.8517	15.7742	15.0247			4	4	0.440871	0.860377	-0.271808	-0.985688
PDHX	18.0169	18.1297	18.0868	17.9487	18.1311	17.9989	18.0936	18.1776			4	4	0.446964	0.858545	-0.0547919	-0.996901
QSOX1	17.0833	16.9612	17.1306	17.5017	17.42	16.9695	17.2163	17.0775			4	4	0.00359929	1	-0.00163555	-0.0107825
DCTN6	17.3715	17.9447	17.5227	17.8476	17.7942	17.8727	17.8913	17.5768			4	4	0.309059	0.909402	-0.112103	-0.733618
SLC33A1	16.2192	16.495	16.3147	16.4187	16.4741	16.6812	16.4617	16.4647			4	4	1.01329	0.677866	-0.158515	-1.96526
WASL	17.035	17.1501	17.137	17.1524	16.9162	17.279	17.015	17.0782			4	4	0.22995	0.93996	0.0465531	0.570716
IPO5	21.1618	21.1241	21.1445	21.2362	21.2859	21.2332	21.1833	21.0727			4	4	0.209216	0.948992	-0.027163	-0.526069
POLRMT	15.7817	15.8325	15.5542	15.8306	16.0103	15.5916	15.4393	15.364			4	4	0.413417	0.878141	0.148431	0.934743
SAP18	18.14	18.367	17.9893	17.7523	19.5229	19.7002	18.6743	17.9618			4	4	1.11597	0.652157	-0.902671	-2.13606
DNM1L	19.3539	19.3496	19.4396	19.325	19.5561	19.4837	19.4187	19.3441			4	4	0.80426	0.724851	-0.0836248	-1.61729
RTCA	18.0333	17.9942	18.1893	18.2875	18.4229	18.3169	18.3385	18.1625			4	4	1.09998	0.658754	-0.184115	-2.10942
PIK3C2A	17.8794	17.834	17.7714	17.7735	17.9657	17.9774	17.7852	17.7252			4	4	0.296904	0.913725	-0.0487962	-0.709267
IFRD1	15.1009	15.65	16.3197	15.8446	15.3019	15.7108	16.5579	16.3818			4	4	0.278161	0.924365	-0.25929	-0.671266
GOLIM4	14.2772	15.2204	14.4328	14.9029	14.7756	14.7517	15.0425	15.2549			4	3	0.450125	0.858379	-0.247818	-1.00271
MANBA	16.7811	16.9259	16.8045	16.6776	16.8335	16.9314	16.9237	17.0771			4	4	1.04104	0.673075	-0.14417	-2.01136
AGRN	18.6065	18.3078	18.3806	18.3625	18.517	18.1315	18.1354	18.1262			4	4	0.793051	0.723956	0.186781	1.59851
EXOC5	17.5053	17.5571	17.5594	17.5145	17.5014	17.4388	17.4657	17.6382			4	4	0.19543	0.950821	0.0230427	0.495858
NDUFA4	19.9457	20.3054	19.66	19.6973	19.6565	19.9338	19.9885	20.2123			4	4	0.0884527	0.978514	-0.0456519	-0.243497
PSMD14	20.1175	20.1147	20.0308	20.0124	19.9949	20.0875	19.9759	20.078			4	4	0.382985	0.88765	0.0347314	0.877407
ZNF593	16.8431	16.9474	16.241	16.8388	16.7037	16.6967	16.3157	16.5532			4	4	0.349669	0.893773	0.150229	0.813463
BIN1	17.3073	17.1595	16.9737	17.0027	17.064	16.9734	17.0199	16.8503			4	4	0.728176	0.755164	0.133862	1.48927
KPNA3	19.4926	19.3349	19.3348	19.437	19.8137	19.4553	19.3541	19.3809			4	4	0.390596	0.885612	-0.10113	-0.891837
USP9Y	17.8458	17.845	17.8763	17.8985	17.9846	17.7383	17.863	17.6534			4	4	0.32689	0.90563	0.0565853	0.768953
LAD1	19.2613	19.403	19.3948	19.4686	19.0066	19.1704	19.3341	19.3043			4	4	1.06987	0.671972	0.178083	2.0593
PES1	19.1807	19.2479	19.237	19.2629	19.1494	19.2719	19.2233	19.3112			4	4	0.0616736	0.986738	-0.00682068	-0.173966
SDCBP	19.2153	19.0082	18.8773	19.0741	19.2779	19.0391	18.9533	18.9154			4	4	0.00840268	0.999417	-0.0026927	-0.0250361
PITPNM1	13.5638	14.0789	13.432	13.297	13.8025	13.8445	13.2797	13.8073			4	3	0.159938	0.953186	-0.0905607	-0.415927
MPHOSPH10	17.0221	16.918	17.0186	16.9138	17.1278	16.9647	17.0957	17.0115			4	4	0.853424	0.71912	-0.0818205	-1.69946
NOP56	20.2021	20.1793	20.1667	20.1784	20.1352	20.221	20.2153	20.2577			4	4	0.425257	0.869088	-0.025671	-0.956801
DDX3X	21.3848	21.3976	21.2717	21.3452	21.227	21.3546	21.219	21.3171			4	4	0.797	0.724518	0.070415	1.60513
RNASET2	18.3276	18.3348	18.512	18.417	18.323	18.1981	18.4979	18.3752			4	4	0.26866	0.925324	0.0492887	0.651782
PODXL	19.3728	19.5032	19.5983	18.7392	19.0135	19.2965	19.2002	19.5886			4	4	0.0438073	0.990153	0.028645	0.125733
PIR	16.6695	16.5075	16.6826	16.8336	16.5689	16.9587	16.8585	16.9514			4	4	0.69002	0.756109	-0.161098	-1.42453
KPNA4	17.7993	17.3772	17.331	17.4452	17.8548	17.6624	17.5371	17.7599			4	4	0.857735	0.721445	-0.215388	-1.70665
E2F3	16.8954	16.6874	16.9808	16.8273	17.3267	17.166	15.9378	16.1892			4	4	0.218931	0.941987	0.192774	0.547103
PPP6C	18.3991	18.2909	18.3439	18.3675	18.3112	18.2816	18.2992	18.4412			4	4	0.151315	0.954401	0.0170379	0.395998
CES2	16.1871	16.324	16.4417	16.3963	16.3136	16.3445	16.4856	16.242			4	4	0.0423581	0.9911	-0.00919533	-0.12175
PIK3C2B	16.339	15.893	16.2219	16.3914	16.2812	16.3142	16.1604	16.1029			4	4	0.00924212	1	-0.00336862	-0.0275114
MAN2B1	17.1615	17.5387	17.6681	17.5981	17.7429	17.9146	17.6891	17.4513			4	4	0.677069	0.761479	-0.207854	-1.40245
UBE2C	19.5021	18.9862	18.2456	18.9968	19.2092	18.9815	18.2917	18.4385			4	4	0.243027	0.935164	0.20243	0.59842
PDXK	19.3785	19.5856	19.4721	19.1685	19.5321	19.5375	19.4344	19.5103			4	4	0.514316	0.826956	-0.1024	-1.11888
SCD	17.7942	17.9201	18.8005	18.4673	17.4563	18.3955	18.6559	18.6375			4	4	0.0383526	0.990772	-0.0407629	-0.110683
PPAP2A	15.7501	16.8747	17.1565	16.3074	17.2371	17.268	16.4376	16.6155			4	4	0.43378	0.864236	-0.367388	-0.972597
ARID1A	18.5067	18.5518	18.5831	18.5136	18.4465	18.4657	18.3647	18.5307			4	4	1.18718	0.636906	0.0869346	2.25508
SOCS2	15.8871	15.71	15.5785	15.4779	15.8842	15.9335	15.5541	15.766			4	4	0.443342	0.860002	-0.121064	-0.990239
SDHD	17.2042	17.6592	16.8836	16.8287	17.1665	17.4534	16.9998	16.9258			4	4	0.0113741	1	0.00755692	0.0337775
TMEM194A	15.4085	16.3599	16.2106	15.7335	15.8935	15.8503	16.0511	16.1899			4	4	0.108348	0.972163	-0.0680621	-0.293255
CUX2	15.7836	15.7417	16.316	16.3094	15.7791	16.2205	16.3054	16.2376			4	4	0.193395	0.951312	-0.0979607	-0.49136
TXNDC9	19.3541	19.3605	19.24	19.2359	19.1163	19.1817	19.081	18.9848			4	4	2.07426	0.504261	0.206683	3.85324
TRAFD1	13.7542	13.4775	13.2518	13.5346	13.2394	13.5639	12.7561	14.1458			4	4	0.092179	0.978406	0.0782492	0.252933
COX7A2L	15.6784	16.2408	15.3951	15.8727	15.9559	15.723	15.8252	15.6564			4	4	0.0117837	1	0.00661588	0.0349782
NDUFAB1	18.7152	18.509	18.636	18.7726	18.821	18.7275	18.668	18.6764			4	4	0.432478	0.864346	-0.0650253	-0.970187
UBFD1	17.5742	17.8326	17.5864	17.7542	17.7555	17.6744	17.6197	18.0985			4	4	0.343631	0.898348	-0.100142	-0.80173
CYB561D2	14.9434	15.1617	15.0933	15.0459	14.7757	14.7844	14.9863	15.9907			4	4	0.0908848	0.978151	-0.0731978	-0.249663
CIT	15.8703	15.9382	15.4437	15.6706	15.0526	15.6666	15.3586	15.5725			4	4	0.919251	0.700877	0.318141	1.80905
COPE	18.9631	18.733	18.9757	18.9398	19.0042	18.8965	18.9865	18.8686			4	4	0.218094	0.94208	-0.0360389	-0.545299
RFXANK	13.9223	13.6662	14.0724	13.6423	14.1424	13.4662	14.2992	13.4977			4	4	0.0369509	0.990782	-0.0255704	-0.106791
CDC42EP2	14.9995	16.3731	17.4244	17.005	17.4219	16.5057	16.9915	15.5611			4	4	0.0931835	0.978107	-0.169503	-0.255468
AP3D1	18.774	18.8467	18.8838	18.8769	18.9445	18.9581	18.9247	18.9167			4	4	1.82938	0.54655	-0.0906873	-3.38249
CCS	17.2891	17.5428	17.1918	17.2937	17.2572	17.3525	17.288	17.3847			4	4	0.0376674	0.990744	0.00874662	0.108782
ABLIM1	15.9553	16.1198	16.1024	16.1633	15.8674	16.179	16.1596	16.5217			4	4	0.284791	0.921326	-0.0967081	-0.684773
DVL1	13.9808	14.0846	14.5159	14.2795	14.3652	13.7826	14.3032	13.298			3	4	0.451908	0.857338	0.277966	1.00598
DVL2	17.5055	17.5472	17.112	17.2927	16.9597	17.3327	16.6435	17.5133			4	4	0.532776	0.820503	0.252045	1.15175
CHD1	16.4178	16.8331	16.6429	16.6296	16.5653	16.7753	16.7571	16.8359			4	4	0.445739	0.85911	-0.102542	-0.994651
CHD2	16.7887	16.4755	16.7877	16.548	16.7485	16.6607	16.5504	16.6473			4	4	0.00638954	1	-0.0017314	-0.0190809
TOR1A	17.4276	17.4053	17.498	17.4612	17.8367	17.8857	17.5556	17.455			4	4	1.15133	0.634722	-0.235236	-2.1951
TOR1B	16.6145	16.8526	17.0518	17.1229	16.9298	16.7199	16.959	16.7526			4	4	0.217037	0.943085	0.0701599	0.543018
ADAM10	18.2345	18.4132	18.3784	18.3462	18.1626	18.3238	18.4688	18.46			4	4	0.0459555	0.989669	-0.0107422	-0.131617
ABCD4	15.0615	14.7489	15.1218	14.8369	14.3945	14.6019	15.1588	14.9832			4	4	0.345465	0.898679	0.157661	0.805298
EI24	17.9795	18.1054	17.9698	18.2052	17.9151	18.0269	18.005	17.8422			4	4	0.837156	0.722036	0.117664	1.67231
ENC1	17.5733	17.9324	17.4763	17.5671	18.0078	18.1058	17.6635	17.7483			4	4	0.840976	0.722809	-0.244042	-1.67869
KMT2D	13.7109	14.1243	14.5001	14.1977	14.9078	14.3086	14.0406	13.4254			4	4	0.0371893	0.99092	-0.0373757	-0.107453
APAF1	13.9881	14.7265	14.9163	15.0817	14.55	14.7822	14.7854	14.8401			4	4	0.0892557	0.977808	-0.0613024	-0.245536
RIOK3	15.7556	16.8171	17.0239	16.4418	15.7442	16.6855	16.9092	17.0468			4	4	0.0771039	0.981374	-0.0868096	-0.21441
MAP2K7	15.4737	15.8675	15.8917	15.5762	15.5362	15.7567	15.5337	15.7296			4	4	0.207997	0.947022	0.063215	0.523416
ACOT8	17.0457	17.3248	16.971	17.0697	17.2419	17.1708	17.1614	17.318			4	4	0.683092	0.759192	-0.120223	-1.41273
