#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/5Z_2h.txt#:type=:list
#Associated Gene Name	X5Z_2h_Rep1	X5Z_2h_Rep2	X5Z_2h_Rep3	X5Z_2h_Rep4	XDMSO_2h_Rep1_1	XDMSO_2h_Rep2_1	XDMSO_2h_Rep3_1	XDMSO_2h_Rep4_1	C: Student's T-test Significant 5Z_2h_DMSO_2h	C: Student's T-test significant	N: Valid values X5Z_2h	N: Valid values XDMSO_2h	N: -Log Student's T-test p-value 5Z_2h_DMSO_2h	N: Student's T-test q-value 5Z_2h_DMSO_2h	N: Student's T-test Difference 5Z_2h_DMSO_2h	N: Student's T-test Test statistic 5Z_2h_DMSO_2h
GNG10	16.7289	17.5476	17.1627	17.7319	18.241	17.7614	17.8154	17.3437			4	4	0.869697	0.718254	-0.497612	-1.72658
TMA7	15.9578	17.6777	14.2183	15.44	14.4617	16.508	16.2799	19.0797			4	4	0.26169	0.929779	-0.758879	-0.637389
ALG9	17.5286	17.3086	17.623	17.2092	17.3601	17.6168	17.6662	17.4431			4	4	0.379184	0.889448	-0.104182	-0.870176
ARHGEF18	15.3653	14.8543	15.3214	15.7049	15.3525	15.0095	14.8205	15.4162			4	4	0.302053	0.911608	0.161833	0.71961
TMED7	17.8984	17.9281	17.776	17.8689	17.841	17.8508	17.8908	18.0839			4	4	0.313873	0.910622	-0.0487828	-0.743202
ZFP91	15.0516	15.3398	15.4336	15.4513	15.1784	15.1505	15.2407	15.2885			4	4	0.488413	0.842336	0.104577	1.07237
C15orf38	16.6419	17.0523	16.5391	16.8515	17.2034	16.7372	16.93	16.8891			4	4	0.51858	0.824435	-0.168741	-1.1265
RPL17	22.0306	21.8539	22.0149	22.1867	21.9233	21.8763	22.0465	21.9743			4	4	0.374151	0.891332	0.0664086	0.860577
PPAN	17.6981	17.5896	17.6243	17.7277	17.698	17.5813	17.5338	17.5586			4	4	0.666451	0.768263	0.0669928	1.38431
SRCAP	16.1109	15.8625	16.0898	16.0947	16.0652	15.7898	16.1263	16.0879			4	4	0.0826214	0.979215	0.0221756	0.228618
ZNF320	15.5618	14.1287	14.366	14.4873	14.2869	14.1439	13.9482	15.3632			4	3	0.173469	0.950855	0.200422	0.446786
ZNF845	15.5618	14.1287	14.366	14.4873	14.2869	14.1439	13.9482	15.3632			4	3	0.173469	0.950855	0.200422	0.446786
AHR	17.0445	16.4888	16.46	16.2399	16.456	17.2222	16.7487	16.3333			4	4	0.199036	0.949616	-0.131776	-0.503803
PARL	16.3239	15.2828	17.032	16.4296	17.635	17.7319	17.3098	16.3941			4	4	1.1003	0.659151	-1.00063	-2.10995
GDPGP1	14.2427	14.2281	14.5796	14.3299	15.6403	15.4466	14.9082	13.1117			4	4	0.313142	0.910477	-0.431623	-0.741749
RBM47	17.4544	17.4754	17.461	17.4477	17.3558	17.441	17.5636	17.7088			4	4	0.316649	0.911196	-0.0576639	-0.748714
TTC26	14.8725	15.2882	15.7203	14.7641	16.8056	16.1674	14.6074	14.309			4	4	0.190643	0.950907	-0.311099	-0.485262
UBA6	19.4918	19.408	19.4722	19.5312	19.4904	19.4584	19.4838	19.444			4	4	0.0862579	0.977416	0.00664139	0.237914
ESYT2	18.24	18.2392	18.3465	18.2459	18.2631	18.2886	18.3469	18.4005			4	4	0.679676	0.759708	-0.0568709	-1.4069
MED19	16.0112	15.6976	16.1276	16.182	16.2616	16.2413	16.4468	16.3019			4	4	1.40005	0.578639	-0.308284	-2.61586
KIAA1598	18.875	18.8091	18.9298	18.8379	18.8333	18.8778	18.8833	18.9244			4	4	0.208053	0.947353	-0.016767	-0.523538
ARHGAP10	15.3524	15.2508	15.1345	15.1254	15.5001	15.7518	14.977	14.7251			4	4	0.032421	0.9931	-0.0227113	-0.0941357
ANO9	14.7232	14.0496	14.2688	14.3352	15.3024	15.1248	15.2903	14.8263			4	2	2.35313	0.497583	-0.791755	-4.42755
FAM168B	14.5764	14.8525	14.8001	15.2097	15.5255	14.3592	14.9902	14.6952			4	4	0.0407431	0.990985	-0.0328288	-0.117298
ILVBL	18.399	18.0242	18.067	17.9708	18.9187	18.5212	18.2354	18.0533			4	4	0.731759	0.75844	-0.316885	-1.49533
